species,fibrous
Angophora bakeri subsp. crassifolia,yes
Angophora floribunda,yes
Angophora hispida,yes
Angophora inopina,yes
Angophora melanoxylon,yes
Angophora robur,yes
Angophora subvelutina,yes
Angophora woodsiana,yes
Corymbia abergiana,yes
Corymbia cadophora subsp. cadophora,yes
Corymbia cadophora subsp. polychroma,yes
Corymbia ficifolia,yes
Corymbia jacobsiana,yes
Corymbia nesophila,yes
Corymbia ptychocarpa subsp. aptycha,yes
Corymbia ptychocarpa subsp. ptychocarpa,yes
Corymbia zygophylla,yes
Eucalyptus absita,yes
Eucalyptus acaciiformis,yes
Eucalyptus acmenoides,yes
Eucalyptus aequioperta,yes
Eucalyptus agglomerata,yes
Eucalyptus aggregata,yes
Eucalyptus albopurpurea,yes
Eucalyptus alligatrix subsp. alligatrix,yes
Eucalyptus alligatrix subsp. limaensis,yes
Eucalyptus alligatrix subsp. miscella,yes
Eucalyptus ammophila,yes
Eucalyptus amygdalina,yes
Eucalyptus andrewsii subsp. andrewsii,yes
Eucalyptus andrewsii subsp. campanulata,yes
Eucalyptus angophoroides,yes
Eucalyptus angularis,yes
Eucalyptus apothalassica,yes
Eucalyptus arachnaea subsp. arachnaea,yes
Eucalyptus arachnaea subsp. arrecta,yes
Eucalyptus arenacea,yes
Eucalyptus arenicola,yes
Eucalyptus aromaphloia subsp. aromaphloia,yes
Eucalyptus aromaphloia subsp. sabulosa,yes
Eucalyptus aspersa,yes
Eucalyptus aurifodina,yes
Eucalyptus baileyana,yes
Eucalyptus balladoniensis subsp. balladoniensis,yes
Eucalyptus balladoniensis subsp. sedens,yes
Eucalyptus banksii,yes
Eucalyptus baudiniana,yes
Eucalyptus baxteri,yes
Eucalyptus bensonii,yes
Eucalyptus blaxlandii,yes
Eucalyptus boliviana,yes
Eucalyptus botryoides,yes
Eucalyptus brachyandra,yes
Eucalyptus brachycalyx,yes
Eucalyptus brevipes,yes
Eucalyptus brevistylis,yes
Eucalyptus bridgesiana,yes
Eucalyptus cadens,yes
Eucalyptus caliginosa,yes
Eucalyptus calyerup,yes
Eucalyptus cameronii,yes
Eucalyptus camfieldii,yes
Eucalyptus canescens subsp. canescens,yes
Eucalyptus capitellata,yes
Eucalyptus carnea,yes
Eucalyptus cephalocarpa,yes
Eucalyptus ceracea,yes
Eucalyptus ceratocorys,yes
Eucalyptus chapmaniana,yes
Eucalyptus chartaboma,yes
Eucalyptus chloroclada,yes
Eucalyptus chlorophylla,yes
Eucalyptus cinerea subsp. cinerea,yes
Eucalyptus cinerea subsp. triplex,yes
Eucalyptus clelandii,yes
Eucalyptus cloeziana,yes
Eucalyptus comitae-vallis,yes
Eucalyptus concinna,yes
Eucalyptus conglomerata,yes
Eucalyptus consideniana,yes
Eucalyptus conspicua subsp. conspicua,yes
Eucalyptus conspicua subsp. dispar,yes
Eucalyptus conveniens,yes
Eucalyptus cooperiana,yes
Eucalyptus cornuta,yes
Eucalyptus corrugata,yes
Eucalyptus corticosa,yes
Eucalyptus croajingolensis,yes
Eucalyptus crucis subsp. praecipua,yes
Eucalyptus cyanophylla,yes
Eucalyptus decipiens,yes
Eucalyptus delegatensis subsp. delegatensis,yes
Eucalyptus delegatensis subsp. tasmaniensis,yes
Eucalyptus delicata,yes
Eucalyptus dendromorpha,yes
Eucalyptus distans,yes
Eucalyptus diversifolia subsp. hesperia,yes
Eucalyptus dives,yes
Eucalyptus dolichocera,yes
Eucalyptus effusa,yes
Eucalyptus eremicola subsp. eremicola,yes
Eucalyptus eremicola subsp. peeneri,yes
Eucalyptus erosa,yes
Eucalyptus eudesmioides subsp. eudesmioides,yes
Eucalyptus eudesmioides subsp. Pallida,yes
Eucalyptus eugenioides,yes
Eucalyptus ewartiana,yes
Eucalyptus expressa,yes
Eucalyptus exserta,yes
Eucalyptus extrica,yes
Eucalyptus famelica,yes
Eucalyptus fastigata,yes
Eucalyptus foecunda,yes
Eucalyptus formanii,yes
Eucalyptus froggattii,yes
Eucalyptus fruticosa,yes
Eucalyptus fulgens,yes
Eucalyptus gamophylla,yes
Eucalyptus gigantangion,yes
Eucalyptus gillii,yes
Eucalyptus gittinsii subsp. illucida,yes
Eucalyptus globoidea,yes
Eucalyptus glomerosa,yes
Eucalyptus gomphocephala,yes
Eucalyptus goniantha subsp. goniantha,yes
Eucalyptus goniocalyx subsp. exposa,yes
Eucalyptus goniocalyx subsp. goniocalyx,yes
Eucalyptus goniocalyx subsp. viridissima,yes
Eucalyptus gracilis,yes
Eucalyptus grandis,yes
Eucalyptus griffithsii,yes
Eucalyptus grossa,yes
Eucalyptus guilfoylei,yes
Eucalyptus gypsophila,yes
Eucalyptus halophila,yes
Eucalyptus helidonica,yes
Eucalyptus horistes,yes
Eucalyptus howittiana,yes
Eucalyptus hypolaena,yes
Eucalyptus hypostomatica,yes
Eucalyptus ignorabilis,yes
Eucalyptus imitans,yes
Eucalyptus indurata,yes
Eucalyptus insularis,yes
Eucalyptus intertexta,yes
Eucalyptus jacksonii,yes
Eucalyptus johnsoniana,yes
Eucalyptus jucunda,yes
Eucalyptus jutsonii subsp. jutsonii,yes
Eucalyptus jutsonii subsp. kobela,yes
Eucalyptus kabiana,yes
Eucalyptus kartzoffiana,yes
Eucalyptus kingsmillii subsp. alatissima,yes
Eucalyptus kingsmillii subsp. kingsmillii,yes
Eucalyptus kochii subsp. amaryssia,yes
Eucalyptus kochii subsp. borealis,yes
Eucalyptus kochii subsp. kochii,yes
Eucalyptus kochii subsp. plenissima,yes
Eucalyptus kochii subsp. yellowdinensis,yes
Eucalyptus kruseana,yes
Eucalyptus laevis,yes
Eucalyptus laevopinea,yes
Eucalyptus lansdowneana,yes
Eucalyptus lateritica,yes
Eucalyptus latisinensis,yes
Eucalyptus leprophloia,yes
Eucalyptus leptopoda subsp. arctata,yes
Eucalyptus leptopoda subsp. leptopoda,yes
Eucalyptus leptopoda subsp. subluta,yes
Eucalyptus leucoxylon subsp. leucoxylon,yes
Eucalyptus leucoxylon subsp. megalocarpa,yes
Eucalyptus leucoxylon subsp. pruinosa,yes
Eucalyptus leucoxylon subsp. stephaniae,yes
Eucalyptus ligustrina,yes
Eucalyptus lirata,yes
Eucalyptus litoralis,yes
Eucalyptus lockyeri subsp. exuta,yes
Eucalyptus lockyeri subsp. lockyeri,yes
Eucalyptus longicornis,yes
Eucalyptus longifolia,yes
Eucalyptus longissima,yes
Eucalyptus loxophleba subsp. loxophleba,yes
Eucalyptus loxophleba subsp. supralaevis,yes
Eucalyptus macarthurii,yes
Eucalyptus mackintii,yes
Eucalyptus macrandra,yes
Eucalyptus macrorhyncha subsp. cannonii,yes
Eucalyptus macrorhyncha subsp. macrorhyncha,yes
Eucalyptus mannensis subsp. mannensis,yes
Eucalyptus mannensis subsp. vespertina,yes
Eucalyptus marginata subsp. elegantella,yes
Eucalyptus marginata subsp. marginata,yes
Eucalyptus marginata subsp. thalassica,yes
Eucalyptus mckieana,yes
Eucalyptus mediocris,yes
Eucalyptus megasepala,yes
Eucalyptus melanoxylon,yes
Eucalyptus melliodora,yes
Eucalyptus merrickiae,yes
Eucalyptus microcorys,yes
Eucalyptus microtheca,yes
Eucalyptus miniata,yes
Eucalyptus misella,yes
Eucalyptus moderata,yes
Eucalyptus morrisii,yes
Eucalyptus muelleriana,yes
Eucalyptus nandewarica,yes
Eucalyptus neglecta,yes
Eucalyptus nicholii,yes
Eucalyptus nitida,yes
Eucalyptus normantonensis,yes
Eucalyptus nortonii,yes
Eucalyptus notabilis,yes
Eucalyptus nova-anglica,yes
Eucalyptus obliqua,yes
Eucalyptus occidentalis,yes
Eucalyptus odorata,yes
Eucalyptus oleosa subsp. corvina,yes
Eucalyptus oleosa subsp. cylindroidea,yes
Eucalyptus oleosa subsp. oleosa,yes
Eucalyptus olida,yes
Eucalyptus oligantha,yes
Eucalyptus olsenii,yes
Eucalyptus oraria,yes
Eucalyptus orbifolia,yes
Eucalyptus ovata var. ovata,yes
Eucalyptus ovularis,yes
Eucalyptus oxymitra,yes
Eucalyptus pachyphylla,yes
Eucalyptus paludicola,yes
Eucalyptus patens,yes
Eucalyptus pellita,yes
Eucalyptus peninsularis,yes
Eucalyptus petraea,yes
Eucalyptus phoenicea,yes
Eucalyptus pilularis,yes
Eucalyptus piperita subsp. piperita,yes
Eucalyptus piperita subsp. urceolaris,yes
Eucalyptus planchoniana,yes
Eucalyptus platycorys,yes
Eucalyptus polyanthemos subsp. polyanthemos,yes
Eucalyptus polybractea,yes
Eucalyptus porosa,yes
Eucalyptus prominens,yes
Eucalyptus prominula,yes
Eucalyptus pruiniramis,yes
Eucalyptus pruinosa subsp. pruinosa,yes
Eucalyptus pruinosa subsp. tenuata,yes
Eucalyptus psammitica,yes
Eucalyptus pulchella,yes
Eucalyptus pyrocarpa,yes
Eucalyptus quadrans,yes
Eucalyptus radiata subsp. radiata,yes
Eucalyptus radiata subsp. robertsonii,yes
Eucalyptus radiata subsp. sejuncta,yes
Eucalyptus regnans,yes
Eucalyptus relicta,yes
Eucalyptus remota,yes
Eucalyptus repullulans,yes
Eucalyptus resinifera subsp. hemilampra,yes
Eucalyptus resinifera subsp. resinifera,yes
Eucalyptus rigidula,yes
Eucalyptus robusta,yes
Eucalyptus rodwayi,yes
Eucalyptus roycei,yes
Eucalyptus rubiginosa,yes
Eucalyptus rudderi,yes
Eucalyptus rudis subsp. cratyantha,yes
Eucalyptus rudis subsp. rudis,yes
Eucalyptus scias subsp. apoda,yes
Eucalyptus scias subsp. scias,yes
Eucalyptus selachiana,yes
Eucalyptus serraensis,yes
Eucalyptus sieberi,yes
Eucalyptus similis,yes
Eucalyptus socialis subsp. socialis,yes
Eucalyptus socialis subsp. victoriensis,yes
Eucalyptus sparsa,yes
Eucalyptus sparsifolia,yes
Eucalyptus sphaerocarpa,yes
Eucalyptus splendens subsp. arcana,yes
Eucalyptus splendens subsp. splendens,yes
Eucalyptus squamosa,yes
Eucalyptus staeri,yes
Eucalyptus stenostoma,yes
Eucalyptus striaticalyx,yes
Eucalyptus surgens,yes
Eucalyptus tectifica,yes
Eucalyptus tenella,yes
Eucalyptus tenuipes,yes
Eucalyptus terrica,yes
Eucalyptus tetrodonta,yes
Eucalyptus thamnoides subsp. megista,yes
Eucalyptus tindaliae,yes
Eucalyptus todtiana,yes
Eucalyptus triflora,yes
Eucalyptus trivalvis,yes
Eucalyptus ultima,yes
Eucalyptus umbra,yes
Eucalyptus uncinata,yes
Eucalyptus varia subsp. salsuginosa,yes
Eucalyptus verrucata,yes
Eucalyptus victoriana,yes
Eucalyptus viminalis subsp. cygnetensis,yes
Eucalyptus viminalis subsp. pryoriana,yes
Eucalyptus viminalis subsp. viminalis,yes
Eucalyptus viridis,yes
Eucalyptus vokesensis,yes
Eucalyptus williamsiana,yes
Eucalyptus willisii subsp. falciformis,yes
Eucalyptus willisii subsp. willisii,yes
Eucalyptus wyolensis,yes
Eucalyptus yalatensis,yes
Eucalyptus yarraensis,yes
Eucalyptus youmanii,yes
Eucalyptus youngiana,yes
Eucalyptus zopherophloia,yes
