"","BioNet_unassigned","BioNet_assigned","EUCLID","bark_matches_concat","main_trunk_fibrous","main_trunk_partly_fibrous","shedding_any","shedding_trunk_only","shedding_branches_only","ribbons_present_in_branches","fibrous_and_shedding","fibrous_and_ribbony"
"303","Eucalyptus piperita","Eucalyptus piperita",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"304","Eucalyptus piperita subsp. piperita","Eucalyptus piperita","Eucalyptus piperita subsp. piperita","branches rough, branches smooth, no ribbons in branches, ribbons in branches, fibrous, partly rough, wholly rough, partly or all smooth",NA,"partly fibrous","shedding",NA,NA,"ribbons in branches","both fibrous and shedding","both fibrous and ribbony"
"305","Eucalyptus piperita subsp. urceolaris","Eucalyptus piperita","Eucalyptus piperita subsp. urceolaris","branches rough, branches smooth, no ribbons in branches, fibrous, wholly rough",NA,"partly fibrous","shedding",NA,"bark shed from branches only",NA,"both fibrous and shedding",NA
"306","Eucalyptus placita","Eucalyptus placita","Eucalyptus placita","branches rough, branches smooth, no ribbons in branches, wholly rough, rough bark ironbark",NA,NA,"shedding",NA,"bark shed from branches only",NA,NA,NA
"307","Eucalyptus planchoniana","Eucalyptus planchoniana","Eucalyptus planchoniana","branches rough, branches smooth, no ribbons in branches, fibrous, wholly rough",NA,"partly fibrous","shedding",NA,"bark shed from branches only",NA,"both fibrous and shedding",NA
"308","Eucalyptus polyanthemos","Eucalyptus polyanthemos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"309","Eucalyptus polyanthemos subsp. polyanthemos","Eucalyptus polyanthemos subsp. polyanthemos","Eucalyptus polyanthemos subsp. polyanthemos","branches smooth, no ribbons in branches, fibrous, partly rough, wholly smooth, rough bark box type, partly or all smooth",NA,"partly fibrous","shedding",NA,NA,NA,"both fibrous and shedding",NA
"310","Eucalyptus polyanthemos subsp. tarda","Eucalyptus polyanthemos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"311","Eucalyptus polyanthemos subsp. vestita","Eucalyptus polyanthemos subsp. vestita","Eucalyptus polyanthemos subsp. vestita","branches rough, no ribbons in branches, wholly rough, rough bark loose basal slabs, rough bark box type",NA,NA,"shedding","bark shed from trunk only",NA,NA,NA,NA
"312","Eucalyptus polybractea","Eucalyptus polybractea","Eucalyptus polybractea","branches smooth, no ribbons in branches, ribbons in branches, fibrous, partly rough, wholly smooth, rough bark box type, partly or all smooth",NA,"partly fibrous","shedding",NA,NA,"ribbons in branches","both fibrous and shedding","both fibrous and ribbony"
"313","Eucalyptus polycarpa","Corymbia dolichocarpa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"314","Eucalyptus populnea","Eucalyptus populnea subsp. bimbil","Eucalyptus populnea","branches rough, no ribbons in branches, wholly rough, rough bark box type, rough bark tessellated",NA,NA,NA,NA,NA,NA,NA,NA
"315","Eucalyptus populnea subsp. bimbil","Eucalyptus populnea subsp. bimbil","Eucalyptus populnea","branches rough, no ribbons in branches, wholly rough, rough bark box type, rough bark tessellated",NA,NA,NA,NA,NA,NA,NA,NA
"316","Eucalyptus porosa","Eucalyptus porosa","Eucalyptus porosa","branches rough, branches smooth, no ribbons in branches, fibrous, partly rough, wholly rough, rough bark box type, partly or all smooth",NA,"partly fibrous","shedding",NA,NA,NA,"both fibrous and shedding",NA
"317","Eucalyptus praecox","Eucalyptus praecox",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"318","Eucalyptus prava","Eucalyptus prava","Eucalyptus prava","branches smooth, no ribbons in branches, wholly smooth, partly or all smooth",NA,NA,"shedding",NA,NA,NA,NA,NA
"319","Eucalyptus prominula","Eucalyptus prominula","Eucalyptus prominula","branches rough, fibrous, wholly rough","wholly fibrous",NA,NA,NA,NA,NA,NA,NA
"320","Eucalyptus propinqua","Eucalyptus propinqua","Eucalyptus propinqua","branches smooth, no ribbons in branches, wholly smooth, partly or all smooth",NA,NA,"shedding",NA,NA,NA,NA,NA
"321","Eucalyptus psammitica","Eucalyptus psammitica","Eucalyptus psammitica","branches rough, no ribbons in branches, fibrous, wholly rough","wholly fibrous",NA,NA,NA,NA,NA,NA,NA
"322","Eucalyptus pseudoglobulus","Eucalyptus pseudoglobulus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"323","Eucalyptus pulverulenta","Eucalyptus pulverulenta","Eucalyptus pulverulenta","branches smooth, no ribbons in branches, ribbons in branches, wholly smooth, partly or all smooth",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"324","Eucalyptus pumila","Eucalyptus pumila","Eucalyptus pumila","branches smooth, no ribbons in branches, wholly smooth, partly or all smooth",NA,NA,"shedding",NA,NA,NA,NA,NA
"325","Eucalyptus punctata","Eucalyptus punctata","Eucalyptus punctata","branches smooth, no ribbons in branches, wholly smooth, partly or all smooth",NA,NA,"shedding",NA,NA,NA,NA,NA
"326","Eucalyptus punctata subsp. punctata","Eucalyptus punctata subsp. punctata","Eucalyptus punctata","branches smooth, no ribbons in branches, wholly smooth, partly or all smooth",NA,NA,"shedding",NA,NA,NA,NA,NA
"327","Eucalyptus punctata var. didyma","Eucalyptus biturbinata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"328","Eucalyptus pyrocarpa","Eucalyptus pyrocarpa","Eucalyptus pyrocarpa","branches rough, branches smooth, no ribbons in branches, ribbons in branches, fibrous, wholly rough",NA,"partly fibrous","shedding",NA,"bark shed from branches only","ribbons in branches","both fibrous and shedding","both fibrous and ribbony"
"329","Eucalyptus quadrangulata","Eucalyptus quadrangulata","Eucalyptus quadrangulata","branches rough, no ribbons in branches, wholly rough, rough bark box type",NA,NA,NA,NA,NA,NA,NA,NA
"330","Eucalyptus quinniorum","Eucalyptus quinniorum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"331","Eucalyptus racemosa","Eucalyptus racemosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"332","Eucalyptus racemosa subsp. racemosa","Eucalyptus racemosa","Eucalyptus racemosa subsp. racemosa","branches smooth, no ribbons in branches, wholly smooth, partly or all smooth",NA,NA,"shedding",NA,NA,NA,NA,NA
"333","Eucalyptus racemosa subsp. rossii","Eucalyptus rossii","Eucalyptus racemosa subsp. rossii","branches smooth, no ribbons in branches, wholly smooth, partly or all smooth",NA,NA,"shedding",NA,NA,NA,NA,NA
"334","Eucalyptus radiata","Eucalyptus radiata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"335","Eucalyptus radiata subsp. radiata","Eucalyptus radiata subsp. radiata","Eucalyptus radiata subsp. radiata","branches rough, branches smooth, no ribbons in branches, fibrous, wholly rough, rough bark box type",NA,"partly fibrous","shedding",NA,"bark shed from branches only",NA,"both fibrous and shedding",NA
"336","Eucalyptus radiata subsp. robertsonii","Eucalyptus robertsonii","Eucalyptus radiata subsp. robertsonii","branches rough, branches smooth, no ribbons in branches, ribbons in branches, fibrous, wholly rough, rough bark box type",NA,"partly fibrous","shedding",NA,"bark shed from branches only","ribbons in branches","both fibrous and shedding","both fibrous and ribbony"
"337","Eucalyptus radiata subsp. sejuncta","Eucalyptus radiata subsp. sejuncta","Eucalyptus radiata subsp. sejuncta","branches rough, branches smooth, no ribbons in branches, fibrous, wholly rough",NA,"partly fibrous","shedding",NA,"bark shed from branches only",NA,"both fibrous and shedding",NA
"338","Eucalyptus ralla","Eucalyptus ralla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"339","Eucalyptus recurva","Eucalyptus recurva","Eucalyptus recurva","branches smooth, no ribbons in branches, ribbons in branches, wholly smooth, partly or all smooth",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"340","Eucalyptus resinifera","Eucalyptus resinifera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"341","Eucalyptus resinifera subsp. hemilampra","Eucalyptus resinifera subsp. hemilampra","Eucalyptus resinifera subsp. hemilampra","branches rough, no ribbons in branches, fibrous, wholly rough","wholly fibrous",NA,NA,NA,NA,NA,NA,NA
"342","Eucalyptus resinifera subsp. resinifera","Eucalyptus resinifera subsp. resinifera","Eucalyptus resinifera subsp. resinifera","branches rough, no ribbons in branches, fibrous, wholly rough","wholly fibrous",NA,NA,NA,NA,NA,NA,NA
"344","Eucalyptus retinens","Eucalyptus retinens","Eucalyptus retinens","branches rough, branches smooth, no ribbons in branches, partly rough, wholly rough, rough bark box type, partly or all smooth",NA,NA,"shedding",NA,NA,NA,NA,NA
"345","Eucalyptus robertsonii","Eucalyptus robertsonii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"346","Eucalyptus robertsonii subsp. hemisphaerica","Eucalyptus robertsonii subsp. hemisphaerica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"347","Eucalyptus robertsonii subsp. robertsonii","Eucalyptus robertsonii subsp. robertsonii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"348","Eucalyptus robusta","Eucalyptus robusta","Eucalyptus robusta","branches rough, no ribbons in branches, fibrous, wholly rough","wholly fibrous",NA,NA,NA,NA,NA,NA,NA
"349","Eucalyptus robusta x saligna","Eucalyptus robusta x saligna","Eucalyptus robusta","branches rough, no ribbons in branches, fibrous, wholly rough","wholly fibrous",NA,NA,NA,NA,NA,NA,NA
"350","Eucalyptus robusta x tereticornis","Eucalyptus x kirtoniana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"352","Eucalyptus rossii","Eucalyptus rossii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"353","Eucalyptus rubida","Eucalyptus rubida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"354","Eucalyptus rubida subsp. barbigerorum","Eucalyptus rubida subsp. barbigerorum","Eucalyptus rubida subsp. barbigerorum","branches smooth, no ribbons in branches, ribbons in branches, partly rough, rough bark loose basal slabs, partly or all smooth",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"355","Eucalyptus rubida subsp. rubida","Eucalyptus rubida subsp. rubida","Eucalyptus rubida subsp. rubida","branches smooth, no ribbons in branches, ribbons in branches, partly rough, wholly smooth, rough bark loose basal slabs, partly or all smooth",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"356","Eucalyptus rubida x viminalis","Eucalyptus rubida x viminalis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"357","Eucalyptus rudderi","Eucalyptus rudderi","Eucalyptus rudderi","branches rough, no ribbons in branches, fibrous, wholly rough, rough bark box type, rough bark tessellated","wholly fibrous",NA,NA,NA,NA,NA,NA,NA
"358","Eucalyptus rummeryi","Eucalyptus rummeryi","Eucalyptus rummeryi","branches rough, no ribbons in branches, wholly rough, rough bark box type, rough bark tessellated",NA,NA,NA,NA,NA,NA,NA,NA
"359","Eucalyptus rupicola","Eucalyptus cunninghamii","Eucalyptus cunninghamii","branches smooth, no ribbons in branches, wholly smooth, partly or all smooth",NA,NA,"shedding",NA,NA,NA,NA,NA
"360","Eucalyptus saligna","Eucalyptus saligna","Eucalyptus saligna","branches smooth, no ribbons in branches, partly rough, wholly smooth, rough bark loose basal slabs, partly or all smooth",NA,NA,"shedding",NA,NA,NA,NA,NA
"361","Eucalyptus saxatilis","Eucalyptus saxatilis","Eucalyptus saxatilis","branches smooth, no ribbons in branches, ribbons in branches, wholly smooth, partly or all smooth",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"362","Eucalyptus saxicola","Eucalyptus saxicola",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"363","Eucalyptus scias","Eucalyptus scias",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"364","Eucalyptus scias subsp. apoda","Eucalyptus scias subsp. apoda","Eucalyptus scias subsp. apoda","branches rough, no ribbons in branches, fibrous, wholly rough","wholly fibrous",NA,NA,NA,NA,NA,NA,NA
"365","Eucalyptus scias subsp. callimastha","Eucalyptus scias subsp. callimastha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"366","Eucalyptus scias subsp. scias","Eucalyptus scias subsp. scias","Eucalyptus scias subsp. scias","branches rough, no ribbons in branches, fibrous, wholly rough","wholly fibrous",NA,NA,NA,NA,NA,NA,NA
"367","Eucalyptus sclerophylla","Eucalyptus sclerophylla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"368","Eucalyptus scoparia","Eucalyptus scoparia","Eucalyptus scoparia","branches smooth, no ribbons in branches, wholly smooth, partly or all smooth",NA,NA,"shedding",NA,NA,NA,NA,NA
"369","Eucalyptus seeana","Eucalyptus seeana","Eucalyptus seeana","branches smooth, no ribbons in branches, wholly smooth, partly or all smooth",NA,NA,"shedding",NA,NA,NA,NA,NA
"370","Eucalyptus serpentinicola","Eucalyptus serpentinicola",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"371","Eucalyptus siderophloia","Eucalyptus siderophloia","Eucalyptus siderophloia","branches rough, no ribbons in branches, wholly rough, rough bark ironbark",NA,NA,NA,NA,NA,NA,NA,NA
"372","Eucalyptus sideroxylon","Eucalyptus sideroxylon","Eucalyptus sideroxylon","branches rough, no ribbons in branches, wholly rough, rough bark ironbark",NA,NA,NA,NA,NA,NA,NA,NA
"373","Eucalyptus sideroxylon <--> viridis","Eucalyptus sideroxylon <--> viridis","Eucalyptus sideroxylon","branches rough, no ribbons in branches, wholly rough, rough bark ironbark",NA,NA,NA,NA,NA,NA,NA,NA
"374","Eucalyptus sideroxylon subsp. sideroxylon","Eucalyptus sideroxylon","Eucalyptus sideroxylon","branches rough, no ribbons in branches, wholly rough, rough bark ironbark",NA,NA,NA,NA,NA,NA,NA,NA
"375","Eucalyptus sieberi","Eucalyptus sieberi","Eucalyptus sieberi","branches smooth, no ribbons in branches, fibrous, partly rough, wholly rough, rough bark compacted, rough bark ironbark, partly or all smooth",NA,"partly fibrous","shedding",NA,NA,NA,"both fibrous and shedding",NA
"376","Eucalyptus signata","Eucalyptus signata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"377","Eucalyptus smithii","Eucalyptus smithii","Eucalyptus smithii","branches smooth, ribbons in branches, partly rough, wholly rough, wholly smooth, rough bark compacted, partly or all smooth",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"378","Eucalyptus socialis","Eucalyptus socialis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"379","Eucalyptus sp. aff. agglomerata","Eucalyptus sp. aff. agglomerata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"380","Eucalyptus sp. aff. cameronii (Macleay-Apsley)","Eucalyptus sp. aff. cameronii (Macleay-Apsley)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"381","Eucalyptus sp. aff. dwyeri","Eucalyptus sp. aff. dwyeri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"382","Eucalyptus sp. aff. fibrosa (Pokolbin)","Eucalyptus sp. aff. fibrosa (Pokolbin)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"383","Eucalyptus sp. aff. fibrosa (Yarrawa)","Eucalyptus sp. aff. fibrosa (Yarrawa)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"384","Eucalyptus sp. aff. macrorhyncha","Eucalyptus sp. aff. macrorhyncha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"385","Eucalyptus sp. 'Cattai'","Eucalyptus sp. Cattai",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"386","Eucalyptus sparsifolia","Eucalyptus sparsifolia","Eucalyptus sparsifolia","branches rough, no ribbons in branches, fibrous, wholly rough","wholly fibrous",NA,NA,NA,NA,NA,NA,NA
"387","Eucalyptus spectatrix","Eucalyptus spectatrix",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"388","Eucalyptus spp.","Eucalyptus spp.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"389","Eucalyptus squamosa","Eucalyptus squamosa","Eucalyptus squamosa","branches rough, branches smooth, no ribbons in branches, fibrous, wholly rough, rough bark tessellated",NA,"partly fibrous","shedding",NA,"bark shed from branches only",NA,"both fibrous and shedding",NA
"390","Eucalyptus stannicola","Eucalyptus subtilior",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"391","Eucalyptus stellulata","Eucalyptus stellulata","Eucalyptus stellulata","branches smooth, no ribbons in branches, ribbons in branches, partly rough, rough bark loose basal slabs, rough bark compacted, partly or all smooth",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"392","Eucalyptus stenostoma","Eucalyptus stenostoma","Eucalyptus stenostoma","branches smooth, no ribbons in branches, fibrous, partly rough, rough bark compacted, partly or all smooth",NA,"partly fibrous","shedding",NA,NA,NA,"both fibrous and shedding",NA
"393","Eucalyptus stricta","Eucalyptus stricta","Eucalyptus stricta","branches smooth, no ribbons in branches, ribbons in branches, wholly smooth, partly or all smooth",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"394","Eucalyptus sturgissiana","Eucalyptus sturgissiana","Eucalyptus sturgissiana","branches smooth, no ribbons in branches, wholly smooth, partly or all smooth",NA,NA,"shedding",NA,NA,NA,NA,NA
"395","Eucalyptus subcaerula","Eucalyptus subcaerulea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"396","Eucalyptus subcaerulea","Eucalyptus subcaerulea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"397","Eucalyptus subtilior","Eucalyptus subtilior",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"398","Eucalyptus tenella","Eucalyptus tenella","Eucalyptus tenella","branches rough, no ribbons in branches, fibrous, wholly rough","wholly fibrous",NA,NA,NA,NA,NA,NA,NA
"399","Eucalyptus tereticornis","Eucalyptus tereticornis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"400","Eucalyptus tereticornis subsp. tereticornis","Eucalyptus tereticornis subsp. tereticornis","Eucalyptus tereticornis subsp. tereticornis","branches smooth, no ribbons in branches, partly rough, wholly smooth, rough bark loose basal slabs, partly or all smooth",NA,NA,"shedding",NA,NA,NA,NA,NA
"401","Eucalyptus terminalis","Corymbia tumescens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"402","Eucalyptus tessellaris","Corymbia tessellaris","Corymbia tessellaris","branches smooth, no ribbons in branches, partly rough, wholly rough, rough bark tessellated, partly or all smooth",NA,NA,"shedding",NA,NA,NA,NA,NA
"403","Eucalyptus tetrapleura","Eucalyptus tetrapleura","Eucalyptus tetrapleura","branches rough, no ribbons in branches, wholly rough, rough bark ironbark",NA,NA,NA,NA,NA,NA,NA,NA
"404","Eucalyptus tindaliae","Eucalyptus tindaliae","Eucalyptus tindaliae","branches rough, no ribbons in branches, fibrous, wholly rough","wholly fibrous",NA,NA,NA,NA,NA,NA,NA
"405","Eucalyptus torelliana","Corymbia torelliana","Corymbia torelliana","branches smooth, no ribbons in branches, partly rough, wholly smooth, rough bark imperfectly shed, rough bark tessellated, partly or all smooth",NA,NA,"shedding",NA,NA,NA,NA,NA
"406","Eucalyptus tricarpa","Eucalyptus tricarpa","Eucalyptus tricarpa","branches rough, no ribbons in branches, wholly rough, rough bark ironbark",NA,NA,NA,NA,NA,NA,NA,NA
"407","Eucalyptus triflora","Eucalyptus triflora","Eucalyptus triflora","branches smooth, no ribbons in branches, ribbons in branches, fibrous, partly rough, wholly smooth, rough bark loose basal slabs, rough bark compacted, partly or all smooth",NA,"partly fibrous","shedding",NA,NA,"ribbons in branches","both fibrous and shedding","both fibrous and ribbony"
"408","Eucalyptus triplex","Eucalyptus triplex",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"409","Eucalyptus umbra","Eucalyptus umbra","Eucalyptus umbra","branches rough, no ribbons in branches, fibrous, wholly rough","wholly fibrous",NA,NA,NA,NA,NA,NA,NA
"410","Eucalyptus umbra subsp. umbra","Eucalyptus umbra","Eucalyptus umbra","branches rough, no ribbons in branches, fibrous, wholly rough","wholly fibrous",NA,NA,NA,NA,NA,NA,NA
"411","Eucalyptus vicina","Eucalyptus vicina","Eucalyptus vicina","branches smooth, no ribbons in branches, partly rough, wholly smooth, rough bark loose basal slabs, partly or all smooth",NA,NA,"shedding",NA,NA,NA,NA,NA
"412","Eucalyptus viminalis","Eucalyptus viminalis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"413","Eucalyptus viminalis subsp. luxurians","Eucalyptus viminalis subsp. luxurians",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"414","Eucalyptus viminalis subsp. viminalis","Eucalyptus viminalis","Eucalyptus viminalis subsp. viminalis","branches smooth, no ribbons in branches, ribbons in branches, fibrous, partly rough, wholly smooth, rough bark loose basal slabs, partly or all smooth",NA,"partly fibrous","shedding",NA,NA,"ribbons in branches","both fibrous and shedding","both fibrous and ribbony"
"415","Eucalyptus viridis","Eucalyptus viridis","Eucalyptus viridis","branches smooth, no ribbons in branches, ribbons in branches, fibrous, partly rough, wholly smooth, rough bark loose basal slabs, rough bark box type, partly or all smooth",NA,"partly fibrous","shedding",NA,NA,"ribbons in branches","both fibrous and shedding","both fibrous and ribbony"
"416","Eucalyptus volcanica","Eucalyptus volcanica","Eucalyptus volcanica","branches rough, branches smooth, no ribbons in branches, partly rough, wholly rough, rough bark box type, partly or all smooth",NA,NA,"shedding",NA,NA,NA,NA,NA
"417","Eucalyptus wilcoxii","Eucalyptus wilcoxii","Eucalyptus wilcoxii","branches smooth, no ribbons in branches, ribbons in branches, wholly smooth, partly or all smooth",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"418","Eucalyptus williamsiana","Eucalyptus williamsiana","Eucalyptus williamsiana","branches rough, no ribbons in branches, fibrous, wholly rough","wholly fibrous",NA,NA,NA,NA,NA,NA,NA
"419","Eucalyptus youmanii","Eucalyptus youmanii","Eucalyptus youmanii","branches rough, branches smooth, no ribbons in branches, fibrous, wholly rough",NA,"partly fibrous","shedding",NA,"bark shed from branches only",NA,"both fibrous and shedding",NA
