"","species","branches.minnirichi","branches.rough","branches.smooth","no.ribbons.in.branches","ribbons.in.branches","fibrous","main.minnirichi","partly.rough","wholly.rough","wholly.smooth","rough.bark.loose.basal.slabs","rough.bark.box.type","rough.bark.compacted","rough.bark.imperfectly.shed","rough.bark.ironbark","rough.bark.tessellated","partly.or.all.smooth"
"1","Eucalyptus caesia subsp. caesia","yes",NA,NA,"yes",NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes"
"2","Eucalyptus caesia subsp. magna","yes",NA,NA,"yes",NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes"
"3","Eucalyptus crucis subsp. crucis","yes",NA,NA,"yes",NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes"
"4","Eucalyptus crucis subsp. lanceolata","yes",NA,NA,"yes",NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes"
"5","Eucalyptus crucis subsp. praecipua","yes","yes",NA,"yes",NA,"yes",NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,"yes"
"6","Eucalyptus educta","yes",NA,NA,"yes",NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes"
"7","Eucalyptus ewartiana","yes",NA,NA,"yes",NA,"yes","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,"yes"
"8","Eucalyptus orbifolia","yes",NA,NA,"yes",NA,"yes","yes","yes",NA,NA,"yes",NA,NA,NA,NA,NA,"yes"
"9","Eucalyptus websteriana","yes",NA,NA,"yes",NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes"
"10","Angophora bakeri subsp. bakeri",NA,"yes",NA,"yes",NA,NA,NA,NA,"yes",NA,NA,"yes",NA,NA,NA,NA,NA
"11","Angophora bakeri subsp. crassifolia",NA,"yes",NA,"yes",NA,"yes",NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA
"12","Angophora floribunda",NA,"yes",NA,"yes",NA,"yes",NA,NA,"yes",NA,NA,"yes",NA,NA,NA,NA,NA
"13","Angophora hispida",NA,"yes",NA,"yes",NA,"yes",NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA
"14","Angophora inopina",NA,"yes",NA,"yes",NA,"yes",NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA
"15","Angophora melanoxylon",NA,"yes",NA,"yes",NA,"yes",NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA
"16","Angophora robur",NA,"yes",NA,"yes",NA,"yes",NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA
"17","Angophora subvelutina",NA,"yes",NA,"yes",NA,"yes",NA,NA,"yes",NA,NA,"yes",NA,NA,NA,NA,NA
"18","Angophora woodsiana",NA,"yes",NA,"yes",NA,"yes",NA,NA,"yes",NA,NA,"yes",NA,NA,NA,NA,NA
"19","Corymbia abbreviata",NA,"yes",NA,"yes",NA,NA,NA,NA,"yes",NA,NA,"yes",NA,NA,NA,"yes",NA
"20","Corymbia abergiana",NA,"yes","yes","yes",NA,"yes",NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes",NA
"21","Corymbia arenaria",NA,"yes",NA,"yes",NA,NA,NA,NA,"yes",NA,NA,"yes",NA,NA,NA,"yes","yes"
"22","Corymbia arnhemensis",NA,"yes","yes","yes",NA,NA,NA,"yes","yes",NA,NA,NA,NA,NA,NA,"yes","yes"
"23","Corymbia aureola",NA,"yes",NA,"yes",NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes",NA
"24","Corymbia bloxsomei",NA,"yes",NA,"yes",NA,NA,NA,NA,"yes",NA,NA,"yes",NA,NA,NA,"yes",NA
"25","Corymbia brachycarpa",NA,"yes",NA,"yes",NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes",NA
"26","Corymbia bunites",NA,"yes",NA,"yes",NA,NA,NA,NA,"yes",NA,NA,"yes",NA,NA,NA,"yes",NA
"27","Corymbia cadophora subsp. cadophora",NA,"yes",NA,"yes",NA,"yes",NA,NA,"yes",NA,NA,"yes",NA,NA,NA,"yes",NA
"28","Corymbia cadophora subsp. pliantha",NA,"yes",NA,"yes",NA,NA,NA,NA,"yes",NA,NA,"yes",NA,NA,NA,"yes",NA
"29","Corymbia cadophora subsp. polychroma",NA,"yes",NA,NA,NA,"yes",NA,NA,"yes",NA,NA,"yes",NA,NA,NA,"yes",NA
"30","Corymbia calophylla",NA,"yes",NA,"yes",NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes",NA
"31","Corymbia chartacea",NA,"yes",NA,"yes",NA,NA,NA,NA,"yes",NA,NA,"yes",NA,NA,NA,"yes",NA
"32","Corymbia clandestina",NA,"yes",NA,"yes",NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes",NA
"33","Corymbia clarksoniana",NA,"yes",NA,"yes",NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes",NA
"34","Corymbia cliftoniana",NA,"yes",NA,"yes",NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes",NA
"35","Corymbia collina",NA,"yes","yes","yes",NA,NA,NA,"yes","yes","yes",NA,"yes",NA,NA,NA,"yes","yes"
"36","Corymbia deserticola subsp. deserticola",NA,"yes",NA,"yes",NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes",NA
"37","Corymbia deserticola subsp. mesogeotica",NA,"yes",NA,"yes",NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes",NA
"38","Corymbia dunlopiana",NA,"yes",NA,"yes",NA,NA,NA,NA,"yes",NA,NA,"yes",NA,NA,NA,"yes",NA
"39","Corymbia ellipsoidea",NA,"yes","yes","yes",NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes",NA
"40","Corymbia eremaea",NA,"yes","yes","yes",NA,NA,NA,"yes","yes","yes",NA,NA,NA,NA,NA,"yes","yes"
"41","Corymbia erythrophloia",NA,"yes","yes","yes",NA,NA,NA,NA,"yes",NA,NA,"yes",NA,NA,NA,"yes",NA
"42","Corymbia eximia",NA,"yes",NA,"yes",NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes",NA
"43","Corymbia ferruginea subsp. ferruginea",NA,"yes",NA,"yes",NA,NA,NA,NA,"yes",NA,NA,"yes",NA,NA,NA,"yes",NA
"44","Corymbia ferruginea subsp. stypophylla",NA,"yes",NA,"yes",NA,NA,NA,NA,"yes",NA,NA,"yes",NA,NA,NA,"yes",NA
"45","Corymbia ficifolia",NA,"yes","yes","yes",NA,"yes",NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes",NA
"46","Corymbia foelscheana",NA,"yes","yes","yes",NA,NA,NA,"yes","yes",NA,NA,NA,NA,NA,NA,"yes","yes"
"47","Corymbia greeniana",NA,"yes","yes","yes",NA,NA,NA,"yes","yes","yes",NA,"yes",NA,NA,NA,"yes","yes"
"48","Corymbia gummifera",NA,"yes",NA,"yes",NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes",NA
"49","Corymbia haematoxylon",NA,"yes",NA,"yes",NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes",NA
"50","Corymbia hamersleyana",NA,"yes","yes","yes",NA,NA,NA,"yes","yes",NA,NA,NA,NA,NA,NA,"yes","yes"
"51","Corymbia hendersonii",NA,"yes",NA,"yes",NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes",NA
"52","Corymbia hylandii",NA,"yes",NA,"yes",NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes",NA
"53","Corymbia intermedia",NA,"yes",NA,"yes",NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes",NA
"54","Corymbia jacobsiana",NA,"yes",NA,"yes",NA,"yes",NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA
"55","Corymbia lamprophylla",NA,"yes",NA,"yes",NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes",NA
"56","Corymbia latifolia",NA,"yes","yes","yes",NA,NA,NA,"yes","yes","yes",NA,NA,NA,NA,NA,"yes","yes"
"57","Corymbia leichhardtii",NA,"yes",NA,"yes",NA,NA,NA,NA,"yes",NA,NA,"yes",NA,NA,NA,"yes",NA
"58","Corymbia lenziana",NA,"yes","yes","yes",NA,NA,NA,"yes","yes",NA,NA,NA,NA,NA,NA,"yes","yes"
"59","Corymbia leptoloma",NA,"yes",NA,"yes",NA,NA,NA,NA,"yes",NA,NA,"yes",NA,NA,NA,"yes",NA
"60","Corymbia ligans",NA,"yes",NA,"yes",NA,NA,NA,NA,"yes",NA,NA,"yes",NA,NA,NA,"yes",NA
"61","Corymbia nesophila",NA,"yes",NA,"yes",NA,"yes",NA,NA,"yes",NA,NA,"yes",NA,NA,NA,"yes",NA
"62","Corymbia novoguinensis",NA,"yes",NA,"yes",NA,NA,NA,NA,"yes",NA,NA,"yes",NA,NA,NA,"yes",NA
"63","Corymbia pachycarpa",NA,"yes",NA,"yes",NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes",NA
"64","Corymbia papillosa",NA,"yes",NA,"yes",NA,NA,NA,NA,"yes",NA,NA,"yes",NA,NA,NA,"yes",NA
"65","Corymbia peltata",NA,"yes",NA,"yes",NA,NA,NA,NA,"yes",NA,NA,"yes",NA,NA,NA,"yes",NA
"66","Corymbia petalophylla",NA,"yes",NA,"yes",NA,NA,NA,NA,"yes",NA,NA,"yes",NA,NA,NA,"yes",NA
"67","Corymbia plena",NA,"yes",NA,"yes",NA,NA,NA,NA,"yes",NA,NA,"yes",NA,NA,NA,"yes",NA
"68","Corymbia pocillum",NA,"yes","yes","yes",NA,NA,NA,"yes","yes",NA,NA,NA,NA,NA,NA,"yes","yes"
"69","Corymbia polycarpa",NA,"yes",NA,"yes",NA,NA,NA,NA,"yes",NA,NA,"yes",NA,NA,NA,"yes",NA
"70","Corymbia porrecta",NA,"yes",NA,"yes",NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes",NA
"71","Corymbia ptychocarpa subsp. aptycha",NA,"yes",NA,"yes",NA,"yes",NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes",NA
"72","Corymbia ptychocarpa subsp. ptychocarpa",NA,"yes",NA,"yes",NA,"yes",NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes",NA
"73","Corymbia rhodops",NA,"yes","yes","yes",NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes",NA
"74","Corymbia scabrida",NA,"yes",NA,"yes",NA,NA,NA,NA,"yes",NA,NA,"yes",NA,NA,NA,"yes",NA
"75","Corymbia setosa",NA,"yes",NA,"yes",NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes",NA
"76","Corymbia sphaerica",NA,"yes",NA,"yes",NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes",NA
"77","Corymbia stockeri subsp. peninsularis",NA,"yes","yes","yes",NA,NA,NA,"yes","yes",NA,NA,NA,NA,NA,NA,"yes","yes"
"78","Corymbia stockeri subsp. stockeri",NA,"yes","yes","yes",NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes",NA
"79","Corymbia terminalis",NA,"yes","yes","yes",NA,NA,NA,"yes","yes",NA,NA,NA,NA,NA,NA,"yes","yes"
"80","Corymbia trachyphloia",NA,"yes","yes","yes",NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes",NA
"81","Corymbia umbonata",NA,"yes","yes","yes",NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes","yes"
"82","Corymbia watsoniana subsp. capillata",NA,"yes",NA,"yes",NA,NA,NA,NA,"yes",NA,NA,"yes",NA,NA,NA,"yes",NA
"83","Corymbia watsoniana subsp. watsoniana",NA,"yes",NA,"yes",NA,NA,NA,NA,"yes",NA,NA,"yes",NA,NA,NA,"yes",NA
"84","Corymbia xanthope",NA,"yes",NA,"yes",NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes",NA
"85","Corymbia zygophylla",NA,"yes",NA,"yes",NA,"yes",NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes",NA
"86","Eucalyptus acaciiformis",NA,"yes",NA,"yes",NA,"yes",NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA
"87","Eucalyptus acmenoides",NA,"yes",NA,"yes",NA,"yes",NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA
"88","Eucalyptus agglomerata",NA,"yes",NA,"yes",NA,"yes",NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA
"89","Eucalyptus aggregata",NA,"yes","yes","yes",NA,"yes",NA,NA,"yes",NA,NA,"yes",NA,NA,NA,NA,NA
"90","Eucalyptus albens",NA,"yes","yes","yes",NA,NA,NA,"yes","yes",NA,NA,"yes",NA,NA,NA,"yes","yes"
"91","Eucalyptus alligatrix subsp. alligatrix",NA,"yes","yes","yes",NA,"yes",NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA
"92","Eucalyptus alligatrix subsp. limaensis",NA,"yes","yes","yes",NA,"yes",NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA
"93","Eucalyptus ancophila",NA,"yes","yes","yes",NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,"yes",NA,NA
"94","Eucalyptus andrewsii subsp. andrewsii",NA,"yes","yes","yes",NA,"yes",NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA
"95","Eucalyptus andrewsii subsp. campanulata",NA,"yes","yes","yes",NA,"yes",NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA
"96","Eucalyptus angophoroides",NA,"yes",NA,"yes",NA,"yes",NA,NA,"yes",NA,NA,"yes",NA,NA,NA,"yes",NA
"97","Eucalyptus apothalassica",NA,"yes",NA,"yes",NA,"yes",NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA
"98","Eucalyptus arenacea",NA,"yes",NA,"yes",NA,"yes",NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA
"99","Eucalyptus arenicola",NA,"yes","yes","yes",NA,"yes",NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,"yes"
"100","Eucalyptus argillacea",NA,"yes",NA,"yes",NA,NA,NA,NA,"yes",NA,NA,"yes",NA,NA,NA,"yes",NA
"101","Eucalyptus aromaphloia subsp. aromaphloia",NA,"yes",NA,"yes",NA,"yes",NA,NA,"yes",NA,NA,NA,NA,NA,"yes",NA,NA
"102","Eucalyptus aromaphloia subsp. sabulosa",NA,"yes","yes","yes","yes","yes",NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA
"103","Eucalyptus atrata",NA,"yes",NA,"yes",NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,"yes",NA,NA
"104","Eucalyptus aurifodina",NA,"yes",NA,NA,NA,"yes",NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA
"105","Eucalyptus baileyana",NA,"yes",NA,"yes",NA,"yes",NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA
"106","Eucalyptus baiophylla",NA,"yes","yes","yes",NA,NA,NA,"yes","yes",NA,NA,"yes",NA,NA,NA,NA,"yes"
"107","Eucalyptus banksii",NA,"yes","yes","yes",NA,"yes",NA,NA,"yes",NA,NA,"yes",NA,NA,NA,NA,NA
"108","Eucalyptus baueriana",NA,"yes",NA,"yes",NA,NA,NA,NA,"yes",NA,NA,"yes",NA,NA,NA,NA,NA
"109","Eucalyptus baxteri",NA,"yes",NA,"yes",NA,"yes",NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA
"110","Eucalyptus beaniana",NA,"yes","yes","yes",NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,"yes",NA,NA
"111","Eucalyptus beyeri",NA,"yes",NA,"yes",NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,"yes",NA,NA
"112","Eucalyptus blaxlandii",NA,"yes","yes","yes",NA,"yes",NA,NA,"yes",NA,NA,"yes",NA,NA,NA,NA,NA
"113","Eucalyptus boliviana",NA,"yes",NA,"yes",NA,"yes",NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA
"114","Eucalyptus botryoides",NA,"yes","yes","yes",NA,"yes",NA,"yes","yes",NA,NA,NA,NA,NA,NA,NA,"yes"
"115","Eucalyptus brachyandra",NA,"yes","yes","yes",NA,"yes",NA,NA,"yes",NA,NA,"yes",NA,NA,NA,NA,"yes"
"116","Eucalyptus brevipes",NA,"yes","yes","yes",NA,"yes",NA,"yes","yes",NA,NA,"yes",NA,NA,NA,NA,"yes"
"117","Eucalyptus brevistylis",NA,"yes",NA,"yes",NA,"yes",NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA
"118","Eucalyptus bridgesiana",NA,"yes",NA,"yes",NA,"yes",NA,NA,"yes",NA,NA,"yes",NA,NA,NA,"yes",NA
"119","Eucalyptus brownii",NA,"yes",NA,"yes",NA,NA,NA,NA,"yes",NA,NA,"yes",NA,NA,NA,NA,NA
"120","Eucalyptus cadens",NA,"yes","yes","yes","yes","yes",NA,"yes","yes",NA,"yes","yes","yes",NA,NA,NA,"yes"
"121","Eucalyptus caleyi subsp. caleyi",NA,"yes",NA,"yes",NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,"yes",NA,NA
"122","Eucalyptus caleyi subsp. ovendenii",NA,"yes",NA,"yes",NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,"yes",NA,NA
"123","Eucalyptus caliginosa",NA,"yes",NA,"yes",NA,"yes",NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA
"124","Eucalyptus cameronii",NA,"yes",NA,"yes",NA,"yes",NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA
"125","Eucalyptus camfieldii",NA,"yes",NA,"yes",NA,"yes",NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA
"126","Eucalyptus canescens subsp. beadellii",NA,"yes","yes","yes",NA,NA,NA,"yes","yes",NA,NA,"yes",NA,NA,NA,NA,"yes"
"127","Eucalyptus canescens subsp. canescens",NA,"yes","yes","yes",NA,"yes",NA,"yes","yes",NA,NA,"yes",NA,NA,NA,NA,"yes"
"128","Eucalyptus capitellata",NA,"yes",NA,"yes",NA,"yes",NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA
"129","Eucalyptus carnea",NA,"yes",NA,"yes",NA,"yes",NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA
"130","Eucalyptus cephalocarpa",NA,"yes","yes","yes",NA,"yes",NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA
"131","Eucalyptus ceracea",NA,"yes",NA,"yes",NA,"yes",NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA
"132","Eucalyptus chlorophylla",NA,"yes",NA,"yes",NA,"yes",NA,NA,"yes",NA,NA,"yes",NA,NA,NA,"yes",NA
"133","Eucalyptus cinerea subsp. cinerea",NA,"yes",NA,"yes",NA,"yes",NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA
"134","Eucalyptus cinerea subsp. triplex",NA,"yes","yes","yes",NA,"yes",NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA
"135","Eucalyptus cloeziana",NA,"yes","yes","yes",NA,"yes",NA,"yes","yes",NA,NA,"yes",NA,NA,NA,"yes","yes"
"136","Eucalyptus cneorifolia",NA,"yes","yes","yes",NA,NA,NA,"yes","yes",NA,NA,NA,"yes",NA,NA,NA,"yes"
"137","Eucalyptus comitae-vallis",NA,"yes","yes","yes","yes","yes",NA,"yes","yes","yes",NA,"yes",NA,NA,NA,NA,"yes"
"138","Eucalyptus conglomerata",NA,"yes",NA,"yes",NA,"yes",NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA
"139","Eucalyptus conica",NA,"yes","yes","yes",NA,NA,NA,NA,"yes",NA,NA,"yes",NA,NA,NA,"yes",NA
"140","Eucalyptus consideniana",NA,"yes","yes","yes",NA,"yes",NA,"yes","yes",NA,NA,NA,NA,NA,NA,NA,"yes"
"141","Eucalyptus conspicua subsp. conspicua",NA,"yes","yes","yes",NA,"yes",NA,"yes","yes",NA,NA,NA,NA,NA,NA,NA,"yes"
"142","Eucalyptus conspicua subsp. dispar",NA,"yes",NA,NA,NA,"yes",NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA
"143","Eucalyptus coolabah",NA,"yes","yes","yes",NA,NA,NA,"yes","yes",NA,NA,"yes",NA,NA,NA,"yes","yes"
"144","Eucalyptus cornuta",NA,"yes","yes","yes","yes","yes",NA,"yes","yes","yes",NA,"yes","yes","yes",NA,NA,"yes"
"145","Eucalyptus corticosa",NA,"yes","yes","yes",NA,"yes",NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes",NA
"146","Eucalyptus corynodes",NA,"yes","yes","yes",NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,"yes",NA,NA
"147","Eucalyptus crebra",NA,"yes",NA,"yes",NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,"yes",NA,NA
"148","Eucalyptus crenulata",NA,"yes","yes","yes",NA,NA,NA,"yes","yes",NA,NA,NA,"yes",NA,NA,NA,"yes"
"149","Eucalyptus croajingolensis",NA,"yes","yes","yes",NA,"yes",NA,"yes","yes",NA,NA,NA,NA,NA,NA,NA,"yes"
"150","Eucalyptus cullenii",NA,"yes",NA,"yes",NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,"yes",NA,NA
"151","Eucalyptus decipiens",NA,"yes",NA,"yes",NA,"yes",NA,NA,"yes",NA,NA,"yes",NA,NA,NA,NA,NA
"152","Eucalyptus decolor",NA,"yes","yes","yes",NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,"yes",NA,NA
"153","Eucalyptus decorticans",NA,"yes","yes","yes",NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,"yes",NA,NA
"154","Eucalyptus distans",NA,"yes",NA,"yes",NA,"yes",NA,NA,"yes",NA,NA,"yes",NA,NA,NA,NA,NA
"155","Eucalyptus diversifolia subsp. hesperia",NA,"yes","yes","yes",NA,"yes",NA,"yes","yes",NA,NA,NA,NA,NA,NA,NA,"yes"
"156","Eucalyptus dives",NA,"yes","yes","yes","yes","yes",NA,NA,"yes",NA,NA,"yes",NA,NA,NA,NA,NA
"157","Eucalyptus dura",NA,"yes","yes","yes",NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,"yes",NA,NA
