"","species","branches.minnirichi","branches.rough","branches.smooth","no.ribbons.in.branches","ribbons.in.branches","fibrous","main.minnirichi","partly.rough","wholly.rough","wholly.smooth","rough.bark.loose.basal.slabs","rough.bark.box.type","rough.bark.compacted","rough.bark.imperfectly.shed","rough.bark.ironbark","rough.bark.tessellated","partly.or.all.smooth"
"158","Eucalyptus effusa",NA,"yes","yes","yes","yes","yes",NA,"yes","yes",NA,NA,"yes",NA,"yes",NA,NA,"yes"
"159","Eucalyptus erosa",NA,"yes",NA,"yes",NA,"yes",NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA
"160","Eucalyptus eugenioides",NA,"yes",NA,"yes",NA,"yes",NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA
"161","Eucalyptus exilipes",NA,"yes",NA,"yes",NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,"yes",NA,NA
"162","Eucalyptus expressa",NA,"yes",NA,NA,NA,"yes",NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA
"163","Eucalyptus exserta",NA,"yes","yes","yes",NA,"yes",NA,NA,"yes",NA,NA,"yes",NA,NA,NA,NA,NA
"164","Eucalyptus farinosa",NA,"yes",NA,"yes",NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,"yes",NA,NA
"165","Eucalyptus fibrosa subsp. fibrosa",NA,"yes",NA,"yes",NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,"yes",NA,NA
"166","Eucalyptus fibrosa subsp. nubila",NA,"yes",NA,"yes",NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,"yes",NA,NA
"167","Eucalyptus foecunda",NA,"yes","yes","yes",NA,"yes",NA,"yes","yes",NA,NA,"yes",NA,NA,NA,NA,"yes"
"168","Eucalyptus formanii",NA,"yes","yes","yes","yes","yes",NA,"yes","yes",NA,NA,"yes",NA,NA,NA,NA,"yes"
"169","Eucalyptus fruticosa",NA,"yes","yes","yes","yes","yes",NA,"yes","yes","yes",NA,"yes",NA,NA,NA,NA,"yes"
"170","Eucalyptus fulgens",NA,"yes","yes","yes",NA,"yes",NA,NA,"yes",NA,NA,"yes",NA,NA,NA,NA,NA
"171","Eucalyptus fusiformis",NA,"yes",NA,"yes",NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,"yes",NA,NA
"172","Eucalyptus globoidea",NA,"yes",NA,"yes",NA,"yes",NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA
"173","Eucalyptus gomphocephala",NA,"yes",NA,"yes",NA,"yes",NA,NA,"yes",NA,NA,"yes",NA,NA,NA,"yes",NA
"174","Eucalyptus goniocalyx subsp. goniocalyx",NA,"yes","yes","yes",NA,"yes",NA,"yes","yes",NA,NA,"yes",NA,NA,NA,NA,"yes"
"175","Eucalyptus goniocalyx subsp. viridissima",NA,"yes","yes",NA,NA,"yes",NA,NA,"yes",NA,NA,"yes",NA,NA,NA,"yes",NA
"176","Eucalyptus granitica",NA,"yes",NA,"yes",NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,"yes",NA,NA
"177","Eucalyptus grossa",NA,"yes",NA,"yes",NA,"yes",NA,"yes","yes",NA,NA,NA,NA,NA,NA,NA,NA
"178","Eucalyptus guilfoylei",NA,"yes",NA,"yes",NA,"yes",NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA
"179","Eucalyptus helidonica",NA,"yes",NA,"yes",NA,"yes",NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA
"180","Eucalyptus howittiana",NA,"yes",NA,"yes",NA,"yes",NA,NA,"yes",NA,NA,"yes",NA,NA,NA,"yes",NA
"181","Eucalyptus hypostomatica",NA,"yes","yes","yes",NA,"yes",NA,NA,"yes",NA,NA,"yes",NA,NA,NA,NA,NA
"182","Eucalyptus ignorabilis",NA,"yes",NA,"yes",NA,"yes",NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA
"183","Eucalyptus imitans",NA,"yes",NA,"yes",NA,"yes",NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA
"184","Eucalyptus indurata",NA,"yes","yes","yes",NA,"yes",NA,"yes","yes",NA,NA,"yes","yes",NA,"yes",NA,"yes"
"185","Eucalyptus jacksonii",NA,"yes",NA,"yes",NA,"yes",NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA
"186","Eucalyptus jensenii",NA,"yes",NA,"yes",NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,"yes",NA,NA
"187","Eucalyptus jutsonii subsp. jutsonii",NA,"yes","yes","yes",NA,"yes",NA,"yes","yes",NA,NA,NA,NA,NA,NA,NA,"yes"
"188","Eucalyptus jutsonii subsp. kobela",NA,"yes",NA,"yes",NA,"yes",NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA
"189","Eucalyptus kingsmillii subsp. alatissima",NA,"yes","yes","yes",NA,"yes",NA,"yes","yes",NA,"yes","yes",NA,NA,NA,NA,"yes"
"190","Eucalyptus kingsmillii subsp. kingsmillii",NA,"yes","yes","yes",NA,"yes",NA,"yes","yes","yes","yes","yes",NA,NA,NA,NA,"yes"
"191","Eucalyptus kochii subsp. amaryssia",NA,"yes",NA,"yes",NA,"yes",NA,NA,"yes",NA,NA,"yes",NA,NA,NA,NA,NA
"192","Eucalyptus kochii subsp. borealis",NA,"yes","yes","yes",NA,"yes",NA,"yes","yes",NA,NA,"yes",NA,NA,NA,NA,"yes"
"193","Eucalyptus kochii subsp. plenissima",NA,"yes","yes","yes",NA,"yes",NA,"yes","yes",NA,NA,"yes",NA,NA,NA,NA,"yes"
"194","Eucalyptus kochii subsp. yellowdinensis",NA,"yes","yes","yes",NA,"yes",NA,"yes","yes",NA,NA,"yes",NA,NA,NA,NA,"yes"
"195","Eucalyptus koolpinensis",NA,"yes",NA,"yes",NA,NA,NA,NA,"yes",NA,NA,"yes",NA,NA,NA,"yes",NA
"196","Eucalyptus laevis",NA,"yes","yes","yes",NA,"yes",NA,"yes","yes",NA,NA,"yes",NA,NA,NA,NA,"yes"
"197","Eucalyptus laevopinea",NA,"yes","yes","yes",NA,"yes",NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA
"198","Eucalyptus largiflorens",NA,"yes",NA,"yes",NA,NA,NA,NA,"yes",NA,NA,"yes",NA,NA,NA,"yes",NA
"199","Eucalyptus latisinensis",NA,"yes",NA,"yes",NA,"yes",NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA
"200","Eucalyptus leptophleba",NA,"yes",NA,"yes",NA,NA,NA,NA,"yes",NA,NA,"yes",NA,NA,NA,NA,NA
"201","Eucalyptus leucophylla",NA,"yes",NA,"yes",NA,NA,NA,NA,"yes",NA,NA,"yes",NA,NA,NA,NA,NA
"202","Eucalyptus ligustrina",NA,"yes",NA,"yes",NA,"yes",NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA
"203","Eucalyptus limitaris",NA,"yes",NA,"yes",NA,NA,NA,NA,"yes",NA,NA,"yes",NA,NA,NA,"yes",NA
"204","Eucalyptus lirata",NA,"yes",NA,"yes",NA,"yes",NA,NA,"yes",NA,NA,"yes",NA,NA,NA,NA,NA
"205","Eucalyptus longicornis",NA,"yes","yes","yes",NA,"yes",NA,"yes","yes",NA,NA,NA,"yes",NA,NA,NA,"yes"
"206","Eucalyptus longifolia",NA,"yes","yes","yes",NA,"yes",NA,NA,"yes",NA,NA,"yes",NA,NA,NA,NA,NA
"207","Eucalyptus loxophleba subsp. loxophleba",NA,"yes","yes","yes","yes","yes",NA,"yes","yes",NA,NA,"yes",NA,NA,NA,NA,"yes"
"208","Eucalyptus macarthurii",NA,"yes","yes","yes","yes","yes",NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA
"209","Eucalyptus mackintii",NA,"yes",NA,"yes",NA,"yes",NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA
"210","Eucalyptus macrorhyncha subsp. cannonii",NA,"yes",NA,"yes",NA,"yes",NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA
"211","Eucalyptus macrorhyncha subsp. macrorhyncha",NA,"yes",NA,"yes",NA,"yes",NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA
"212","Eucalyptus magnificata",NA,"yes","yes","yes",NA,NA,NA,"yes","yes",NA,NA,"yes",NA,"yes",NA,NA,"yes"
"213","Eucalyptus malacoxylon",NA,"yes","yes","yes",NA,NA,NA,NA,"yes",NA,NA,"yes",NA,NA,NA,"yes",NA
"214","Eucalyptus mannensis subsp. vespertina",NA,"yes","yes","yes",NA,"yes",NA,"yes","yes",NA,NA,"yes",NA,NA,NA,NA,"yes"
"215","Eucalyptus marginata subsp. elegantella",NA,"yes","yes","yes",NA,"yes",NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA
"216","Eucalyptus marginata subsp. marginata",NA,"yes","yes","yes",NA,"yes",NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA
"217","Eucalyptus marginata subsp. thalassica",NA,"yes","yes","yes",NA,"yes",NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA
"218","Eucalyptus mckieana",NA,"yes",NA,"yes",NA,"yes",NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA
"219","Eucalyptus mediocris",NA,"yes",NA,"yes",NA,"yes",NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA
"220","Eucalyptus megasepala",NA,"yes",NA,"yes",NA,"yes",NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA
"221","Eucalyptus melanoleuca",NA,"yes","yes","yes",NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,"yes",NA,NA
"222","Eucalyptus melanophloia subsp. melanophloia",NA,"yes",NA,"yes",NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,"yes",NA,NA
"223","Eucalyptus melanophloia subsp. nana",NA,"yes","yes","yes",NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,"yes",NA,NA
"224","Eucalyptus melanoxylon",NA,"yes","yes","yes",NA,"yes",NA,"yes","yes",NA,NA,"yes",NA,NA,NA,NA,"yes"
"225","Eucalyptus merrickiae",NA,"yes","yes","yes","yes","yes",NA,"yes","yes",NA,NA,"yes",NA,NA,NA,NA,"yes"
"226","Eucalyptus microcorys",NA,"yes",NA,"yes",NA,"yes",NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA
"227","Eucalyptus microneura",NA,"yes",NA,"yes",NA,NA,NA,NA,"yes",NA,NA,"yes",NA,NA,NA,NA,NA
"228","Eucalyptus microtheca",NA,"yes","yes","yes",NA,"yes",NA,"yes","yes",NA,NA,"yes",NA,NA,NA,"yes",NA
"229","Eucalyptus moderata",NA,"yes","yes","yes",NA,"yes",NA,"yes","yes",NA,NA,"yes","yes",NA,NA,NA,"yes"
"230","Eucalyptus muelleriana",NA,"yes",NA,"yes",NA,"yes",NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA
"231","Eucalyptus neglecta",NA,"yes","yes","yes","yes","yes",NA,"yes","yes",NA,NA,NA,NA,NA,NA,NA,"yes"
"232","Eucalyptus nicholii",NA,"yes",NA,"yes",NA,"yes",NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA
"233","Eucalyptus normantonensis",NA,"yes","yes","yes",NA,"yes",NA,"yes","yes",NA,NA,"yes",NA,NA,NA,NA,"yes"
"234","Eucalyptus nortonii",NA,"yes","yes","yes",NA,"yes",NA,NA,"yes",NA,NA,"yes",NA,NA,NA,NA,NA
"235","Eucalyptus notabilis",NA,"yes",NA,"yes",NA,"yes",NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA
"236","Eucalyptus nova-anglica",NA,"yes","yes","yes",NA,"yes",NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA
"237","Eucalyptus obconica",NA,"yes",NA,"yes",NA,NA,NA,NA,"yes",NA,NA,"yes",NA,NA,NA,"yes",NA
"238","Eucalyptus obliqua",NA,"yes","yes","yes",NA,"yes",NA,"yes","yes",NA,NA,NA,NA,NA,NA,NA,"yes"
"239","Eucalyptus occidentalis",NA,"yes","yes","yes","yes","yes",NA,"yes","yes",NA,NA,"yes","yes",NA,"yes",NA,"yes"
"240","Eucalyptus odorata",NA,"yes","yes","yes","yes","yes",NA,"yes","yes","yes",NA,"yes",NA,NA,NA,NA,"yes"
"241","Eucalyptus oldfieldii",NA,"yes","yes",NA,"yes",NA,NA,"yes","yes","yes",NA,NA,NA,"yes",NA,NA,"yes"
"242","Eucalyptus olida",NA,"yes","yes","yes",NA,"yes",NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA
"243","Eucalyptus oligantha",NA,"yes",NA,"yes",NA,"yes",NA,NA,"yes",NA,NA,"yes",NA,NA,NA,"yes",NA
"244","Eucalyptus ophitica",NA,"yes",NA,"yes",NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,"yes",NA,NA
"245","Eucalyptus ovularis",NA,"yes","yes","yes",NA,"yes",NA,"yes","yes",NA,NA,"yes","yes",NA,NA,NA,"yes"
"246","Eucalyptus paedoglauca",NA,"yes",NA,"yes",NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,"yes",NA,NA
"247","Eucalyptus panda",NA,"yes",NA,"yes",NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,"yes",NA,NA
"248","Eucalyptus paniculata",NA,"yes",NA,"yes",NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,"yes",NA,NA
"249","Eucalyptus patellaris",NA,"yes",NA,"yes",NA,NA,NA,NA,"yes",NA,NA,"yes",NA,NA,NA,"yes",NA
"250","Eucalyptus patens",NA,"yes",NA,"yes",NA,"yes",NA,NA,"yes",NA,NA,"yes",NA,NA,NA,NA,NA
"251","Eucalyptus pellita",NA,"yes",NA,"yes",NA,"yes",NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes",NA
"252","Eucalyptus persistens subsp. persistens",NA,"yes",NA,"yes",NA,NA,NA,NA,"yes",NA,NA,"yes",NA,NA,NA,NA,NA
"253","Eucalyptus persistens subsp. tardecidens",NA,"yes",NA,"yes",NA,NA,NA,NA,"yes",NA,NA,"yes",NA,NA,NA,NA,NA
"254","Eucalyptus phoenicea",NA,"yes","yes","yes",NA,"yes",NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA
"255","Eucalyptus piperita subsp. piperita",NA,"yes","yes","yes","yes","yes",NA,"yes","yes",NA,NA,NA,NA,NA,NA,NA,"yes"
"256","Eucalyptus piperita subsp. urceolaris",NA,"yes","yes","yes",NA,"yes",NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA
"257","Eucalyptus placita",NA,"yes","yes","yes",NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,"yes",NA,NA
"258","Eucalyptus planchoniana",NA,"yes","yes","yes",NA,"yes",NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA
"259","Eucalyptus platycorys",NA,"yes","yes","yes","yes","yes",NA,"yes","yes",NA,NA,NA,NA,NA,NA,NA,"yes"
"260","Eucalyptus polyanthemos subsp. longior",NA,"yes","yes","yes",NA,NA,NA,NA,"yes",NA,NA,"yes",NA,NA,NA,NA,NA
"261","Eucalyptus polyanthemos subsp. vestita",NA,"yes",NA,"yes",NA,NA,NA,NA,"yes",NA,"yes","yes",NA,NA,NA,NA,NA
"262","Eucalyptus populnea",NA,"yes",NA,"yes",NA,NA,NA,NA,"yes",NA,NA,"yes",NA,NA,NA,"yes",NA
"263","Eucalyptus porosa",NA,"yes","yes","yes",NA,"yes",NA,"yes","yes",NA,NA,"yes",NA,NA,NA,NA,"yes"
"264","Eucalyptus prominula",NA,"yes",NA,NA,NA,"yes",NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA
"265","Eucalyptus provecta",NA,"yes",NA,"yes",NA,NA,NA,NA,"yes",NA,NA,"yes",NA,NA,NA,NA,NA
"266","Eucalyptus pruinosa subsp. pruinosa",NA,"yes",NA,"yes",NA,"yes",NA,NA,"yes",NA,NA,"yes",NA,NA,NA,"yes",NA
"267","Eucalyptus pruinosa subsp. tenuata",NA,"yes",NA,"yes",NA,"yes",NA,NA,"yes",NA,NA,"yes",NA,NA,NA,"yes",NA
"268","Eucalyptus psammitica",NA,"yes",NA,"yes",NA,"yes",NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA
"269","Eucalyptus pyrocarpa",NA,"yes","yes","yes","yes","yes",NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA
"270","Eucalyptus quadrangulata",NA,"yes",NA,"yes",NA,NA,NA,NA,"yes",NA,NA,"yes",NA,NA,NA,NA,NA
"271","Eucalyptus quadricostata",NA,"yes",NA,NA,"yes",NA,NA,NA,"yes",NA,NA,NA,NA,NA,"yes",NA,NA
"272","Eucalyptus radiata subsp. radiata",NA,"yes","yes","yes",NA,"yes",NA,NA,"yes",NA,NA,"yes",NA,NA,NA,NA,NA
"273","Eucalyptus radiata subsp. robertsonii",NA,"yes","yes","yes","yes","yes",NA,NA,"yes",NA,NA,"yes",NA,NA,NA,NA,NA
"274","Eucalyptus radiata subsp. sejuncta",NA,"yes","yes","yes",NA,"yes",NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA
"275","Eucalyptus raveretiana",NA,"yes","yes","yes",NA,NA,NA,"yes","yes",NA,NA,"yes",NA,NA,NA,"yes","yes"
"276","Eucalyptus relicta",NA,"yes",NA,"yes",NA,"yes",NA,NA,"yes",NA,NA,"yes",NA,NA,NA,NA,NA
"277","Eucalyptus resinifera subsp. hemilampra",NA,"yes",NA,"yes",NA,"yes",NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA
"278","Eucalyptus resinifera subsp. resinifera",NA,"yes",NA,"yes",NA,"yes",NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA
"279","Eucalyptus retinens",NA,"yes","yes","yes",NA,NA,NA,"yes","yes",NA,NA,"yes",NA,NA,NA,NA,"yes"
"280","Eucalyptus rhombica",NA,"yes",NA,"yes",NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,"yes",NA,NA
"281","Eucalyptus robusta",NA,"yes",NA,"yes",NA,"yes",NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA
"282","Eucalyptus rodwayi",NA,"yes","yes","yes",NA,"yes",NA,NA,"yes",NA,NA,"yes",NA,NA,NA,NA,NA
"283","Eucalyptus rubiginosa",NA,"yes",NA,"yes",NA,"yes",NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA
"284","Eucalyptus rudderi",NA,"yes",NA,"yes",NA,"yes",NA,NA,"yes",NA,NA,"yes",NA,NA,NA,"yes",NA
"285","Eucalyptus rudis subsp. cratyantha",NA,"yes","yes","yes",NA,"yes",NA,"yes","yes","yes",NA,"yes",NA,NA,NA,"yes","yes"
"286","Eucalyptus rudis subsp. rudis",NA,"yes","yes","yes",NA,"yes",NA,"yes","yes","yes",NA,"yes",NA,NA,NA,"yes","yes"
"287","Eucalyptus rummeryi",NA,"yes",NA,"yes",NA,NA,NA,NA,"yes",NA,NA,"yes",NA,NA,NA,"yes",NA
"288","Eucalyptus scias subsp. apoda",NA,"yes",NA,"yes",NA,"yes",NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA
"289","Eucalyptus scias subsp. scias",NA,"yes",NA,"yes",NA,"yes",NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA
"290","Eucalyptus scopulorum",NA,"yes",NA,"yes",NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,"yes",NA,NA
"291","Eucalyptus semota",NA,"yes","yes","yes",NA,NA,NA,"yes","yes",NA,NA,"yes",NA,NA,NA,NA,"yes"
"292","Eucalyptus serraensis",NA,"yes","yes","yes",NA,"yes",NA,"yes","yes",NA,"yes","yes",NA,NA,NA,NA,"yes"
"293","Eucalyptus shirleyi",NA,"yes",NA,"yes",NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,"yes",NA,NA
"294","Eucalyptus sicilifolia",NA,"yes",NA,"yes",NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,"yes",NA,NA
"295","Eucalyptus siderophloia",NA,"yes",NA,"yes",NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,"yes",NA,NA
"296","Eucalyptus sideroxylon",NA,"yes",NA,"yes",NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,"yes",NA,NA
"297","Eucalyptus similis",NA,"yes",NA,"yes",NA,"yes",NA,NA,"yes",NA,NA,"yes",NA,NA,NA,NA,NA
"298","Eucalyptus sp. Cockburn",NA,"yes",NA,"yes",NA,NA,NA,NA,"yes",NA,NA,"yes",NA,NA,NA,NA,NA
"299","Eucalyptus sp. Dorsiventralis",NA,"yes",NA,"yes",NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,"yes",NA,NA
"300","Eucalyptus sparsifolia",NA,"yes",NA,"yes",NA,"yes",NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA
"301","Eucalyptus sphaerocarpa",NA,"yes",NA,"yes",NA,"yes",NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA
"302","Eucalyptus splendens subsp. arcana",NA,"yes",NA,"yes",NA,"yes",NA,NA,"yes",NA,NA,"yes",NA,NA,NA,"yes",NA
"303","Eucalyptus splendens subsp. splendens",NA,"yes",NA,"yes",NA,"yes",NA,NA,"yes",NA,NA,"yes","yes",NA,NA,NA,NA
"304","Eucalyptus squamosa",NA,"yes","yes","yes",NA,"yes",NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes",NA
"305","Eucalyptus staeri",NA,"yes",NA,"yes",NA,"yes",NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA
"306","Eucalyptus staigeriana",NA,"yes",NA,"yes",NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,"yes",NA,NA
"307","Eucalyptus striaticalyx",NA,"yes","yes","yes",NA,"yes",NA,"yes","yes",NA,NA,"yes",NA,NA,NA,NA,"yes"
"308","Eucalyptus suffulgens",NA,"yes",NA,"yes",NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,"yes",NA,NA
"309","Eucalyptus taurina",NA,"yes","yes","yes",NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,"yes",NA,NA
"310","Eucalyptus tectifica",NA,"yes",NA,"yes",NA,"yes",NA,NA,"yes",NA,NA,"yes",NA,NA,NA,"yes",NA
"311","Eucalyptus tenella",NA,"yes",NA,"yes",NA,"yes",NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA
"312","Eucalyptus tenuipes",NA,"yes",NA,"yes",NA,"yes",NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA
"313","Eucalyptus tephrodes",NA,"yes",NA,"yes",NA,NA,NA,NA,"yes",NA,NA,"yes",NA,NA,NA,"yes",NA
