"","species","branches.minnirichi","branches.rough","branches.smooth","no.ribbons.in.branches","ribbons.in.branches","fibrous","main.minnirichi","partly.rough","wholly.rough","wholly.smooth","rough.bark.loose.basal.slabs","rough.bark.box.type","rough.bark.compacted","rough.bark.imperfectly.shed","rough.bark.ironbark","rough.bark.tessellated","partly.or.all.smooth"
"776","Eucalyptus platyphylla",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"777","Eucalyptus platypus subsp. congregata",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"778","Eucalyptus platypus subsp. platypus",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"779","Eucalyptus pleurocarpa",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"780","Eucalyptus pluricaulis subsp. pluricaulis",NA,NA,"yes","yes","yes",NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"781","Eucalyptus pluricaulis subsp. porphyrea",NA,NA,"yes","yes","yes",NA,NA,"yes",NA,"yes",NA,NA,NA,"yes",NA,NA,"yes"
"782","Eucalyptus polita",NA,NA,"yes","yes","yes",NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"783","Eucalyptus polyanthemos subsp. polyanthemos",NA,NA,"yes","yes",NA,"yes",NA,"yes",NA,"yes",NA,"yes",NA,NA,NA,NA,"yes"
"784","Eucalyptus polybractea",NA,NA,"yes","yes","yes","yes",NA,"yes",NA,"yes",NA,"yes",NA,NA,NA,NA,"yes"
"785","Eucalyptus praetermissa",NA,NA,"yes","yes",NA,NA,NA,"yes",NA,"yes",NA,NA,NA,"yes",NA,NA,"yes"
"786","Eucalyptus prava",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"787","Eucalyptus preissiana subsp. lobata",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"788","Eucalyptus preissiana subsp. preissiana",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"789","Eucalyptus prolixa",NA,NA,"yes","yes",NA,NA,NA,"yes",NA,"yes",NA,"yes",NA,NA,NA,NA,"yes"
"790","Eucalyptus prominens",NA,NA,"yes","yes",NA,"yes",NA,"yes",NA,"yes",NA,"yes",NA,NA,NA,NA,"yes"
"791","Eucalyptus propinqua",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"792","Eucalyptus protensa",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"793","Eucalyptus pruiniramis",NA,NA,"yes","yes","yes","yes",NA,"yes",NA,"yes",NA,"yes",NA,"yes",NA,NA,"yes"
"794","Eucalyptus pterocarpa",NA,NA,"yes","yes","yes",NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"795","Eucalyptus pulchella",NA,NA,"yes","yes","yes","yes",NA,"yes",NA,"yes","yes",NA,NA,NA,NA,NA,"yes"
"796","Eucalyptus pulverulenta",NA,NA,"yes","yes","yes",NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"797","Eucalyptus pumila",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"798","Eucalyptus punctata",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"799","Eucalyptus purpurata",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"800","Eucalyptus pyriformis",NA,NA,"yes","yes","yes",NA,NA,"yes",NA,"yes",NA,NA,NA,"yes",NA,NA,"yes"
"801","Eucalyptus quadrans",NA,NA,"yes","yes",NA,"yes",NA,"yes",NA,"yes","yes",NA,NA,NA,NA,NA,"yes"
"802","Eucalyptus quaerenda",NA,NA,"yes","yes","yes",NA,NA,"yes",NA,"yes",NA,NA,NA,"yes",NA,NA,"yes"
"803","Eucalyptus racemosa subsp. racemosa",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"804","Eucalyptus racemosa subsp. rossii",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"805","Eucalyptus rameliana",NA,NA,"yes","yes","yes",NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"806","Eucalyptus ravida",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"807","Eucalyptus recta",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"808","Eucalyptus recurva",NA,NA,"yes","yes","yes",NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"809","Eucalyptus redunca",NA,NA,"yes","yes","yes",NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"810","Eucalyptus regnans",NA,NA,"yes","yes","yes","yes",NA,"yes",NA,NA,"yes",NA,NA,NA,NA,NA,"yes"
"811","Eucalyptus remota",NA,NA,"yes","yes",NA,"yes",NA,"yes","yes","yes",NA,NA,NA,NA,NA,NA,"yes"
"812","Eucalyptus repullulans",NA,NA,"yes","yes","yes","yes",NA,"yes",NA,"yes",NA,"yes",NA,NA,NA,NA,"yes"
"813","Eucalyptus retusa",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"814","Eucalyptus rhodantha",NA,NA,"yes","yes","yes",NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"815","Eucalyptus rhomboidea",NA,NA,"yes","yes","yes",NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"816","Eucalyptus rigens",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"817","Eucalyptus rigidula",NA,NA,"yes","yes","yes","yes",NA,"yes",NA,"yes",NA,NA,NA,"yes",NA,NA,"yes"
"818","Eucalyptus risdonii",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"819","Eucalyptus rosacea",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"820","Eucalyptus rowleyi",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"821","Eucalyptus roycei",NA,NA,"yes","yes",NA,"yes",NA,"yes",NA,NA,NA,"yes",NA,NA,NA,NA,"yes"
"822","Eucalyptus rubida subsp. barbigerorum",NA,NA,"yes","yes","yes",NA,NA,"yes",NA,NA,"yes",NA,NA,NA,NA,NA,"yes"
"823","Eucalyptus rubida subsp. rubida",NA,NA,"yes","yes","yes",NA,NA,"yes",NA,"yes","yes",NA,NA,NA,NA,NA,"yes"
"824","Eucalyptus rugosa",NA,NA,"yes","yes","yes",NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"825","Eucalyptus rugulata",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"826","Eucalyptus rupestris",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"827","Eucalyptus salicola",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"828","Eucalyptus saligna",NA,NA,"yes","yes",NA,NA,NA,"yes",NA,"yes","yes",NA,NA,NA,NA,NA,"yes"
"829","Eucalyptus salmonophloia",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"830","Eucalyptus salubris",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"831","Eucalyptus sargentii subsp. onesia",NA,NA,"yes","yes","yes",NA,NA,"yes",NA,"yes","yes","yes",NA,NA,NA,NA,"yes"
"832","Eucalyptus sargentii subsp. sargentii",NA,NA,"yes","yes",NA,NA,NA,"yes","yes","yes","yes","yes",NA,NA,NA,NA,"yes"
"833","Eucalyptus saxatilis",NA,NA,"yes","yes","yes",NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"834","Eucalyptus scoparia",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"835","Eucalyptus seeana",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"836","Eucalyptus selachiana",NA,NA,"yes","yes",NA,"yes",NA,"yes",NA,"yes",NA,"yes",NA,NA,NA,NA,"yes"
"837","Eucalyptus semiglobosa",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"838","Eucalyptus sepulcralis",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"839","Eucalyptus sessilis",NA,NA,"yes","yes",NA,NA,NA,"yes",NA,"yes",NA,"yes",NA,"yes",NA,NA,"yes"
"840","Eucalyptus sheathiana",NA,NA,"yes","yes","yes",NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"841","Eucalyptus sieberi",NA,NA,"yes","yes",NA,"yes",NA,"yes","yes",NA,NA,NA,"yes",NA,"yes",NA,"yes"
"842","Eucalyptus singularis",NA,NA,"yes","yes","yes",NA,NA,"yes",NA,"yes","yes",NA,NA,"yes",NA,NA,"yes"
"843","Eucalyptus sinuosa",NA,NA,"yes","yes","yes",NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"844","Eucalyptus smithii",NA,NA,"yes",NA,"yes",NA,NA,"yes","yes","yes",NA,NA,"yes",NA,NA,NA,"yes"
"845","Eucalyptus socialis subsp. socialis",NA,NA,"yes","yes","yes","yes",NA,"yes",NA,"yes","yes","yes",NA,NA,NA,NA,"yes"
"846","Eucalyptus socialis subsp. victoriensis",NA,NA,"yes","yes","yes","yes",NA,"yes",NA,"yes","yes","yes",NA,"yes",NA,NA,"yes"
"847","Eucalyptus socialis subsp. viridans",NA,NA,"yes","yes",NA,NA,NA,"yes",NA,NA,NA,"yes",NA,"yes",NA,NA,"yes"
"848","Eucalyptus sp. Kalbarri",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"849","Eucalyptus sp. Southern Wheatbelt",NA,NA,"yes","yes","yes",NA,NA,"yes",NA,"yes","yes",NA,NA,"yes",NA,NA,"yes"
"850","Eucalyptus sp. Undulans",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"851","Eucalyptus sparsa",NA,NA,"yes","yes",NA,"yes",NA,"yes","yes","yes",NA,"yes",NA,NA,NA,NA,"yes"
"852","Eucalyptus spathulata subsp. salina",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"853","Eucalyptus spathulata subsp. spathulata",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"854","Eucalyptus sporadica",NA,NA,"yes","yes","yes",NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"855","Eucalyptus spreta",NA,NA,"yes","yes","yes",NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"856","Eucalyptus steedmanii",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"857","Eucalyptus stellulata",NA,NA,"yes","yes","yes",NA,NA,"yes",NA,NA,"yes",NA,"yes",NA,NA,NA,"yes"
"858","Eucalyptus stenostoma",NA,NA,"yes","yes",NA,"yes",NA,"yes",NA,NA,NA,NA,"yes",NA,NA,NA,"yes"
"859","Eucalyptus stoatei",NA,NA,"yes","yes","yes",NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"860","Eucalyptus stowardii",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"861","Eucalyptus stricklandii",NA,NA,"yes","yes",NA,NA,NA,"yes",NA,NA,NA,"yes",NA,NA,NA,NA,"yes"
"862","Eucalyptus stricta",NA,NA,"yes","yes","yes",NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"863","Eucalyptus strzeleckii",NA,NA,"yes","yes","yes",NA,NA,"yes",NA,"yes","yes",NA,NA,NA,NA,NA,"yes"
"864","Eucalyptus sturgissiana",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"865","Eucalyptus subangusta subsp. cerina",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"866","Eucalyptus subangusta subsp. pusilla",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"867","Eucalyptus subangusta subsp. subangusta",NA,NA,"yes","yes","yes",NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"868","Eucalyptus subangusta subsp. virescens",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"869","Eucalyptus subcrenulata",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"870","Eucalyptus suberea",NA,NA,"yes","yes",NA,NA,NA,"yes","yes",NA,NA,"yes",NA,NA,NA,"yes","yes"
"871","Eucalyptus subtilis",NA,NA,"yes","yes","yes",NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"872","Eucalyptus suggrandis subsp. promiscua",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"873","Eucalyptus suggrandis subsp. suggrandis",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"874","Eucalyptus surgens",NA,NA,"yes","yes",NA,"yes",NA,"yes",NA,"yes",NA,"yes",NA,NA,NA,NA,"yes"
"875","Eucalyptus sweedmaniana",NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA
"876","Eucalyptus synandra",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"877","Eucalyptus talyuberlup",NA,NA,"yes","yes","yes",NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"878","Eucalyptus tenera",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"879","Eucalyptus tenuiramis",NA,NA,"yes","yes",NA,NA,NA,"yes",NA,"yes","yes",NA,NA,NA,NA,NA,"yes"
"880","Eucalyptus tenuis",NA,NA,"yes","yes","yes",NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"881","Eucalyptus tephroclada",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"882","Eucalyptus terebra",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"883","Eucalyptus tereticornis subsp. basaltica",NA,NA,"yes","yes",NA,NA,NA,"yes",NA,"yes","yes",NA,NA,NA,NA,NA,"yes"
"884","Eucalyptus tereticornis subsp. mediana",NA,NA,"yes","yes",NA,NA,NA,"yes",NA,"yes","yes",NA,NA,NA,NA,NA,"yes"
"885","Eucalyptus tereticornis subsp. rotunda",NA,NA,"yes","yes",NA,NA,NA,"yes",NA,"yes","yes",NA,NA,NA,NA,NA,"yes"
"886","Eucalyptus tereticornis subsp. tereticornis",NA,NA,"yes","yes",NA,NA,NA,"yes",NA,"yes","yes",NA,NA,NA,NA,NA,"yes"
"887","Eucalyptus terrica",NA,NA,"yes","yes",NA,"yes",NA,"yes","yes",NA,NA,"yes",NA,NA,NA,NA,"yes"
"888","Eucalyptus tetraptera",NA,NA,"yes","yes","yes",NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"889","Eucalyptus thamnoides subsp. megista",NA,NA,"yes","yes","yes","yes",NA,"yes",NA,"yes","yes","yes",NA,"yes",NA,NA,"yes"
"890","Eucalyptus thamnoides subsp. thamnoides",NA,NA,"yes","yes","yes",NA,NA,"yes",NA,"yes","yes",NA,NA,"yes",NA,NA,"yes"
"891","Eucalyptus thozetiana",NA,NA,"yes","yes",NA,NA,NA,"yes","yes","yes",NA,NA,NA,"yes",NA,"yes","yes"
"892","Eucalyptus tintinnans",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"893","Eucalyptus torquata",NA,NA,"yes","yes",NA,NA,NA,"yes","yes",NA,NA,"yes",NA,NA,NA,"yes","yes"
"894","Eucalyptus tortilis",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"895","Eucalyptus transcontinentalis",NA,NA,"yes","yes","yes",NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"896","Eucalyptus triflora",NA,NA,"yes","yes","yes","yes",NA,"yes",NA,"yes","yes",NA,"yes",NA,NA,NA,"yes"
"897","Eucalyptus trivalvis",NA,NA,"yes","yes","yes","yes",NA,"yes","yes","yes",NA,NA,NA,"yes",NA,NA,"yes"
"898","Eucalyptus tumida",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"899","Eucalyptus ultima",NA,NA,"yes","yes",NA,"yes",NA,"yes",NA,"yes",NA,NA,NA,"yes",NA,NA,"yes"
"900","Eucalyptus umbrawarrensis",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"901","Eucalyptus uncinata",NA,NA,"yes","yes","yes","yes",NA,"yes",NA,"yes",NA,NA,NA,"yes",NA,NA,"yes"
"902","Eucalyptus urna",NA,NA,"yes","yes","yes",NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"903","Eucalyptus urnigera",NA,NA,"yes","yes",NA,NA,NA,"yes",NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"904","Eucalyptus utilis",NA,NA,"yes","yes","yes",NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"905","Eucalyptus valens",NA,NA,"yes","yes","yes",NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"906","Eucalyptus varia subsp. salsuginosa",NA,NA,"yes","yes",NA,"yes",NA,"yes",NA,"yes",NA,"yes",NA,NA,NA,NA,"yes"
"907","Eucalyptus varia subsp. varia",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"908","Eucalyptus vegrandis subsp. recondita",NA,NA,"yes","yes","yes",NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"909","Eucalyptus vegrandis subsp. vegrandis",NA,NA,"yes","yes","yes",NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"910","Eucalyptus vernicosa",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"911","Eucalyptus verrucata",NA,NA,"yes","yes",NA,"yes",NA,"yes",NA,NA,"yes",NA,NA,NA,NA,NA,"yes"
"912","Eucalyptus vesiculosa",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"913","Eucalyptus vicina",NA,NA,"yes","yes",NA,NA,NA,"yes",NA,"yes","yes",NA,NA,NA,NA,NA,"yes"
"914","Eucalyptus victoriana",NA,NA,"yes","yes",NA,"yes",NA,"yes","yes",NA,NA,"yes",NA,NA,NA,NA,"yes"
"915","Eucalyptus victrix",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"916","Eucalyptus viminalis subsp. hentyensis",NA,NA,"yes","yes",NA,NA,NA,"yes",NA,NA,"yes",NA,NA,NA,NA,NA,"yes"
"917","Eucalyptus viminalis subsp. viminalis",NA,NA,"yes","yes","yes","yes",NA,"yes",NA,"yes","yes",NA,NA,NA,NA,NA,"yes"
"918","Eucalyptus virginea",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"919","Eucalyptus viridis",NA,NA,"yes","yes","yes","yes",NA,"yes",NA,"yes","yes","yes",NA,NA,NA,NA,"yes"
"920","Eucalyptus vittata",NA,NA,"yes",NA,"yes",NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"921","Eucalyptus vokesensis",NA,NA,"yes","yes",NA,"yes",NA,"yes","yes",NA,NA,NA,NA,NA,NA,NA,"yes"
"922","Eucalyptus wandoo subsp. pulverea",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"923","Eucalyptus wandoo subsp. wandoo",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"924","Eucalyptus wilcoxii",NA,NA,"yes","yes","yes",NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"925","Eucalyptus woodwardii",NA,NA,"yes","yes","yes",NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"926","Eucalyptus woollsiana",NA,NA,"yes","yes",NA,NA,NA,"yes","yes",NA,NA,"yes",NA,NA,NA,"yes","yes"
"927","Eucalyptus wubinensis",NA,NA,"yes",NA,"yes",NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"928","Eucalyptus x balanopelex",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"929","Eucalyptus x missilis",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"930","Eucalyptus xanthonema subsp. apposita",NA,NA,"yes","yes","yes",NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"931","Eucalyptus xanthonema subsp. xanthonema",NA,NA,"yes","yes","yes",NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"932","Eucalyptus yilgarnensis",NA,NA,"yes","yes",NA,NA,NA,"yes","yes","yes",NA,"yes",NA,NA,NA,NA,"yes"
"933","Eucalyptus yumbarrana",NA,NA,"yes","yes","yes",NA,NA,"yes",NA,"yes",NA,NA,NA,"yes",NA,NA,"yes"
"934","Eucalyptus proxima",NA,NA,NA,"yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
