"","eucalypts","bark"
"1","Angophora bakeri",NA
"2","Angophora bakeri",NA
"3","Angophora costata",NA
"4","Angophora costata",NA
"5","Angophora crassifolia",NA
"6","Angophora crassifolia",NA
"7","Angophora euryphylla",NA
"8","Angophora euryphylla",NA
"9","Angophora exul",NA
"10","Angophora floribunda",NA
"11","Angophora floribunda x paludosa",NA
"12","Angophora hispida",NA
"13","Angophora inopina",NA
"14","Angophora leiocarpa",NA
"15","Angophora leiocarpa",NA
"16","Angophora melanoxylon",NA
"17","Angophora paludosa",NA
"18","Angophora paludosa",NA
"19","Angophora robur",NA
"20","Angophora robur x subvelutina",NA
"21","Angophora spp.",NA
"22","Angophora subvelutina",NA
"23","Angophora woodsiana",NA
"24","Corymbia citriodora",NA
"25","Corymbia citriodora",NA
"26","Corymbia dolichocarpa",NA
"27","Corymbia dolichocarpa",NA
"28","Corymbia dolichocarpa",NA
"29","Corymbia eximia",NA
"30","Corymbia eximia",NA
"31","Corymbia gummifera",NA
"32","Corymbia gummifera",NA
"33","Corymbia henryi",NA
"34","Corymbia henryi",NA
"35","Corymbia intermedia",NA
"36","Corymbia intermedia",NA
"37","Corymbia maculata",NA
"38","Corymbia maculata",NA
"39","Corymbia maculata <--> variegata intergrade",NA
"40","Corymbia spp.",NA
"41","Corymbia tessellaris",NA
"42","Corymbia tessellaris",NA
"43","Corymbia torelliana",NA
"44","Corymbia torelliana",NA
"45","Corymbia trachyphloia",NA
"46","Corymbia trachyphloia subsp. amphistomatica",NA
"47","Corymbia trachyphloia subsp. trachyphloia",NA
"48","Corymbia tumescens",NA
"49","Corymbia tumescens",NA
"50","Corymbia tumescens",NA
"51","Corymbia variegata",NA
"52","Eucalyptus acaciiformis","rough to small branches, stringy or fibrous, grey to grey-brown."
"53","Eucalyptus acmenoides","rough to small branches, fibrous, grey or grey-brown, held in flattish strips rather than typical stringybark."
"54","Eucalyptus acmenoides","rough to small branches, fibrous, grey or grey-brown, held in flattish strips rather than typical stringybark."
"55","Eucalyptus aenea",NA
"56","Eucalyptus agglomerata","rough to small branches, stringy or fibrous, dark grey or grey-brown."
"57","Eucalyptus aggregata",NA
"58","Eucalyptus albens","rough on most or all of trunk and base of large branches, rarely extending to branches 8 cm diameter, box type, often becoming tessellated, pale grey or mottled grey and white patches, smooth bark of branches predominantly white, sometimes grey, or tinged orange, pink or salmon."
"59","Eucalyptus albens <--> moluccana",NA
"60","Eucalyptus albens <--> moluccana",NA
"61","Eucalyptus albens x crebra",NA
"62","Eucalyptus amplifolia","smooth throughout or with loose, greyish slabs persistent at base of trunk, smooth bark often becoming granular with age, white, grey, cream, brown or orange."
"63","Eucalyptus amplifolia subsp. amplifolia",NA
"64","Eucalyptus amplifolia subsp. sessiliflora",NA
"65","Eucalyptus ancophila",NA
"66","Eucalyptus andrewsii","rough throughout or only on trunk and large branches, finely fibrous (like peppermints), grey or grey-brown, smooth bark whitish."
"67","Eucalyptus andrewsii","rough throughout or only on trunk and large branches, finely fibrous (like peppermints), grey or grey-brown, smooth bark whitish."
"68","Eucalyptus angophoroides","rough on trunk and branches, shortly and closely fibrous, often tessellated, grey, or mottled with grey and white patches, horizontal black scars sometimes present on trunk."
"69","Eucalyptus apiculata","smooth, cream, grey, brown or green."
"70","Eucalyptus apothalassica","rough throughout, grey or grey-brown, fibrous, sometimes prickly to touch, held on trunk in flattish strips rather than typical stringybark."
"71","Eucalyptus apothalassica x chloroclada",NA
"72","Eucalyptus approximans","smooth, grey, yellow, brown or greenish, occasionally with ribbons of decorticated bark in the upper branches."
"73","Eucalyptus aquatica",NA
"74","Eucalyptus badjensis","rough on lower trunk only, compacted, hard, blackish or grey, upper trunk and branches smooth grey, green, cream, brown or white, often with ribbons of decorticated bark in the upper branches."
"75","Eucalyptus baeuerlenii","smooth, pink, brown, grey, cream or green."
"76","Eucalyptus baileyana","rough on trunk and larger branches, stringy or fibrous, grey to reddish-brown."
"77","Eucalyptus bakeri",NA
"78","Eucalyptus bancroftii","smooth, sometimes becoming granular with age, mottled white, grey, orange, pink or brown."
"79","Eucalyptus banksii","rough on trunk and larger branches, fibrous or box-like, flaky, grey or grey-brown, smooth branches yellow."
"80","Eucalyptus baueriana","rough over trunk and branches, box-type, grey or mottled grey and white patches, branchlets occasionally glaucous. crown of mature tree often consisting of juvenile leaves."
"81","Eucalyptus baueriana","rough over trunk and branches, box-type, grey or mottled grey and white patches, branchlets occasionally glaucous. crown of mature tree often consisting of juvenile leaves."
"82","Eucalyptus baxteri","rough and stringy to small branches, grey to brown-grey."
"83","Eucalyptus behriana","on lower trunk rough, fibrous to box-type, dark brown to black, upper trunk and branches smooth, grey-brown to yellowish green or coppery, often with ribbons of decorticated bark on the branches. "
"84","Eucalyptus bensonii","rough on part or all of trunk and branches to 6 cm diameter, stringy, grey or brown, branches smooth above."
"85","Eucalyptus benthamii","smooth throughout or with partially adherent brownish rough bark at base of trunk, smooth bark bluish grey or white, branches ribbony."
"86","Eucalyptus beyeriana",NA
"87","Eucalyptus beyeriana",NA
"88","Eucalyptus beyeriana <--> crebra",NA
"89","Eucalyptus bicostata",NA
"90","Eucalyptus bicostata",NA
"91","Eucalyptus biturbinata",NA
"92","Eucalyptus biturbinata",NA
"93","Eucalyptus blakelyi","smooth throughout or with some loose rough grey bark at base of trunk, smooth bark pale grey, cream and white with patches of yellow, pink, brown or orange."
"94","Eucalyptus blakelyi <--> dealbata",NA
"95","Eucalyptus blakelyi <--> tereticornis",NA
"96","Eucalyptus blakelyi x chloroclada",NA
"97","Eucalyptus blakelyi x dwyeri",NA
"98","Eucalyptus blakelyi x melliodora",NA
"99","Eucalyptus blaxlandii","rough on trunk and branches 10cm diameter, stringy, dark brown to grey-brown, branches smooth-barked, whitish."
"100","Eucalyptus boliviana","rough throughout, stringy, grey to grey-brown. Branchlets slightly glaucous and strongly quadrangular, forming wings at each edge."
"101","Eucalyptus bosistoana","partly or wholly rough on trunk but sometimes almost smooth, branches always smooth; rough bark box-type, thin and flaky, mottled grey and white patches or grey-brown, smooth bark white, cream, yellow or grey, sometimes with with ribbons of decorticated bark in the upper branches."
"102","Eucalyptus botryoides","rough on trunk and larger limbs in thick, elongated, fibrous, grey or brown strips; smooth bark predominantly white, cream, or pale brown."
"103","Eucalyptus botryoides <--> saligna",NA
"104","Eucalyptus bridgesiana","rough over whole trunk and larger branches, fibrous, usually tessellated and mottled grey and white."
"105","Eucalyptus brunnea",NA
"106","Eucalyptus burgessiana","smooth throughout, white, pink, orange, pale brown or grey."
"107","Eucalyptus caleyi",NA
"108","Eucalyptus caleyi subsp. caleyi",NA
"109","Eucalyptus caleyi subsp. ovendenii",NA
"110","Eucalyptus caliginosa","rough to small branches, stringy, grey to grey-brown."
"111","Eucalyptus caliginosa <--> laevopinea",NA
"112","Eucalyptus calycogona","rough over part of trunks, box-type to tessellated on older stems, grey-brown, smooth above, grey, grey-brown and yellow-cream, shedding in ribbons. "
"113","Eucalyptus camaldulensis","smooth throughout, often powdery, predominantly white, cream or grey but with patches of pink, red or brown. "
"114","Eucalyptus camaldulensis","smooth throughout, often powdery, predominantly white, cream or grey but with patches of pink, red or brown. "
"115","Eucalyptus camaldulensis <--> chloroclada",NA
"116","Eucalyptus cameronii","rough and stringy to the small branches, grey or brown-grey."
"117","Eucalyptus cameronii x mckiei",NA
"118","Eucalyptus camfieldii","rough, coarsely fissured and stringy to small branches, grey or grey-brown."
"119","Eucalyptus campanulata",NA
"120","Eucalyptus campanulata",NA
"121","Eucalyptus camphora","smooth throughout or partly rough on lower trunk; rough bark either loose basal slabs, or compacted, dark brown, grey or blackish; smooth bark white-grey to grey-green, green or yellow-grey, sometimes slightly powdery."
"122","Eucalyptus camphora subsp. camphora",NA
"123","Eucalyptus camphora subsp. humeana",NA
"124","Eucalyptus camphora subsp. relicta",NA
"125","Eucalyptus canaliculata","smooth, becoming granular with age, predominantly grey or cream with brown, pink or orange patches."
"126","Eucalyptus canaliculata <--> punctata",NA
"127","Eucalyptus cannonii",NA
"128","Eucalyptus cannonii",NA
"129","Eucalyptus cannonii <--> macrorhyncha",NA
"130","Eucalyptus canobolensis","smooth throughout or with some persistent rough, greyish bark at the base of trunk; smooth bark often powdery, white, cream, pale grey, yellow-orange or pink, sometimes horizontal black scars present, at times with ribbons of decorticated bark in the upper branches; branchlets glaucous."
"131","Eucalyptus capitellata","rough to small branches, stringy, grey or grey-brown."
"132","Eucalyptus carnea","rough to small branches, stringy or fibrous, grey or grey-brown."
"133","Eucalyptus castrensis",NA
"134","Eucalyptus chapmaniana","on trunk partly or completely rough, fibrous and finely fissured longitudinally grey or brown-grey, branches smooth, light brown to creamy-white or pale grey, with long ribbons of decorticated bark in the branches, branchlets sometimes glaucous."
"135","Eucalyptus chloroclada",NA
"136","Eucalyptus cinerea","rough to small branches, thick, fibrous, furrowed longitudinally, grey over red-brown."
"137","Eucalyptus cladocalyx","smooth, mottled white, yellow, pink, orange, brown, pale grey, dark grey or blue grey, sometimes slightly powdery."
"138","Eucalyptus codonocarpa",NA
"139","Eucalyptus conica","rough on trunk and branches to about 8 cm diameter, box-type, often tessellated or flaky, grey or grey-brown, smooth bark whitish."
"140","Eucalyptus conjuncta",NA
"141","Eucalyptus consideniana","rough on most of trunk often extending to branches 8 cm diameter, finely fibrous, grey, grey-brown or greyish yellow, sometimes prickly, sometimes with horizontal black scars; smooth bark white or grey."
"142","Eucalyptus conspicua","rough to branches ca 3 cm diameter,loosely fibrous, longitudinally furrowed, grey over red-brown; branchlets glaucous."
"143","Eucalyptus coolabah","rough on part or all of trunk, sometimes extending to the largest limbs, box-type or sometimes tessellated, grey, grey-brown or blackish, upper bark smooth, powdery, white, cream, pale grey or pink."
"144","Eucalyptus coolabah","rough on part or all of trunk, sometimes extending to the largest limbs, box-type or sometimes tessellated, grey, grey-brown or blackish, upper bark smooth, powdery, white, cream, pale grey or pink."
"145","Eucalyptus coolabah subsp. arida",NA
"146","Eucalyptus coolabah subsp. coolabah",NA
"147","Eucalyptus corticosa","rough on trunk, sometimes extending to small branches, fibrous, sometimes fissured and forming longitudinal slabs, sometimes tessellated in part, grey; smooth bark grey, grey-brown to pale orange."
"148","Eucalyptus corticosa","rough on trunk, sometimes extending to small branches, fibrous, sometimes fissured and forming longitudinal slabs, sometimes tessellated in part, grey; smooth bark grey, grey-brown to pale orange."
"149","Eucalyptus costata subsp. murrayana",NA
"150","Eucalyptus costata subsp. murrayana",NA
"151","Eucalyptus costata subsp. murrayana",NA
"152","Eucalyptus crebra",NA
"153","Eucalyptus crebra x fibrosa",NA
"154","Eucalyptus crebra x microcarpa",NA
"155","Eucalyptus crebra x nubila",NA
"156","Eucalyptus crebra x siderophloia",NA
"157","Eucalyptus crenulata","rough on trunk only or extending to 8 cm diameter branches in older trees, compacted, grey, brown or black; smooth bark grey, yellow or grey-brown, branchlets glaucous or non-glaucous."
"158","Eucalyptus croajingolensis","rough throughout or branches less than 8 cm diameter smooth; rough bark finely fibrous (peppermint-type), grey or grey-brown; smooth bark white or grey, often with scribbles, branchlets glaucous or non-glaucous."
"159","Eucalyptus cunninghamii","smooth, grey, often with scribbles."
"160","Eucalyptus cunninghamii","smooth, grey, often with scribbles."
"161","Eucalyptus cyanophylla","smooth or with a ragged stocking of partly shed grey or red-brown strips on lower stems; smooth bark pink to brown, or white to grey or orange-brown, often with ribbons of decorticated bark in the upper branches."
"162","Eucalyptus cypellocarpa","smooth throughout, yellowish, pale grey, cream or grey-brown or orange-brown, or with some persistent slabs of rough bark or thin rough bark on lower trunk; often with horizontal bark scars on rough or smooth bark, ribbons of decorticated bark sometimes present."
"163","Eucalyptus dalrympleana","smooth throughout or with short stocking of persistent rough greyish bark; smooth bark yellow or white to cream with patches of grey, pink, brown and green, sometimes powdery, sometimes with horizontal black scars, often with ribbony crown."
"164","Eucalyptus dalrympleana subsp. dalrympleana",NA
"165","Eucalyptus dalrympleana subsp. heptantha",NA
"166","Eucalyptus dalrympleana x viminalis",NA
"167","Eucalyptus dawsonii","smooth to small branches, or with a short stocking of persistent, flaky, grey or grey-brown rough bark; smooth bark often slightly powdery, mottled white, orange, brown, grey or yellow, branchlets glaucous."
"168","Eucalyptus dealbata","smooth throughout, or partly rough due to persistent slabs of grey bark on base of trunk; smooth bark white, grey, yellow, pink, brown, coppery or orange, branchlets glaucous."
"169","Eucalyptus dealbata x dwyeri",NA
"170","Eucalyptus deanei","smooth throughout, or sometimes with some persistent scaly grey or grey-brown bark at base of trunk; smooth bark white or cream, with patches of yellow, pink, grey or orange, sometimes powdery."
"171","Eucalyptus debeuzevillei",NA
"172","Eucalyptus debeuzevillei",NA
"173","Eucalyptus delegatensis subsp. delegatensis",NA
"174","Eucalyptus delegatensis subsp. delegatensis",NA
"175","Eucalyptus dendromorpha","usually rough on lower trunk, rough bark compacted, grey or brown; smooth bark white, cream, pink, green or grey, usually with scribbles, often ribbony. Young reproductively mature trees maylack any rough bark."
"176","Eucalyptus dissita",NA
"177","Eucalyptus dives","rough to the large branches, finely fibrous (peppermint-type), grey to grey-brown; smooth bark grey."
"178","Eucalyptus dives x pauciflora",NA
"179","Eucalyptus dives x rossii",NA
"180","Eucalyptus dorrigoensis","smooth throughout or with some grey to grey-brown slabs of rough bark persisting on base of trunk; smooth bark sometimes slightly powdery, white, cream, pink or grey, often with ribbons of decorticated bark in the upper branches."
"181","Eucalyptus dumosa","usually rough on lower part of stems, grey or grey-brown, flaky or box-type; smooth bark white, yellow, grey, brown or pink-grey, shedding in ribbons from the upper stems and branches, rarely powdery. "
"182","Eucalyptus dunnii","rough for up to 4 m then smooth; rough bark loose basal slabs or corky, grey or brown; smooth bark usually white to cream, with patches of yellow, grey or green, long ribbons often hanging from crown."
"183","Eucalyptus dwyeri","smooth throughout, rarely with a few loose basal slabs of rough bark; smooth bark white or cream with grey, orange or brown patches, sometimes powdery."
"184","Eucalyptus elata",NA
"185","Eucalyptus elegans",NA
"186","Eucalyptus elliptica","smooth, usually powdery, white with yellow, orange or grey patches, horizontal black scars sometimes present on trunk."
"187","Eucalyptus eugenioides","rough to small branches, longitudinally fissured, stringy, grey to grey-brown."
"188","Eucalyptus eugenioides","rough to small branches, longitudinally fissured, stringy, grey to grey-brown."
"189","Eucalyptus eugenioides x globoidea",NA
"190","Eucalyptus expressa","rough throughout extending to branches ca 5 cm diameter, stringy, brownish grey."
"191","Eucalyptus exserta","rough, usually to small branches, hard, fissured and fibrous, grey."
"192","Eucalyptus fastigata","rough on trunk and larger branches, fibrous or stringy, often furrowed, grey or brown; smooth bark of branches white, cream, orange, grey or brown, with ribbons of decorticated bark conspicuous in the crown."
"193","Eucalyptus fergusonii",NA
"194","Eucalyptus fergusonii subsp. dorsiventralis",NA
"195","Eucalyptus fergusonii subsp. fergusonii",NA
"196","Eucalyptus fibrosa",NA
"197","Eucalyptus fibrosa",NA
"198","Eucalyptus fibrosa x punctata",NA
"199","Eucalyptus fracta",NA
"200","Eucalyptus fraxinoides","rough on basal 4-5 m of trunk, compacted, grey, grey-brown or black; smooth bark white, cream or pale grey, with scribbles, occasionally with horizontal black scars, often ribbony, branchlets sometimes glaucous."
"201","Eucalyptus fusiformis",NA
"202","Eucalyptus gillii","smooth throughout or with some rough, flaky or box-type grey or brown bark on lower 2 m of larger stems, the flakes shed imperfectly giving a curly appearance; smooth bark white, cream, pink or grey. Branchlets usually glaucous."
"203","Eucalyptus glaucescens","rough, fibrous, grey or grey-brown, on lower trunk of trees, shedding in ribbons above; smooth bark of upper trunks, and of mallees, white, orange, brown, green, grey, yellow or pink; horizontal black scars often present on trunk; branchlets usually glaucous."
"204","Eucalyptus glaucina","smooth, white and grey with patches of pink, orange or green; sometimes becoming granular or powdery with age."
"205","Eucalyptus globoidea","rough to small branches, stringy, furrowed down trunk, usually grey."
"206","Eucalyptus globulus","smooth apart from base which has persistent slabs, shedding in large strips and slabs; smooth bark white, cream, grey, pink, yellowish or pale creamy orange, often with ribbons of decorticated bark in the upper branches; branchlets occasionally glaucous."
"207","Eucalyptus goniocalyx","rough over all of trunk, sometimesextending to small branches, or the large branches smooth; rough bark fibrous or box-type, grey, grey-brown, smooth bark white, cream or grey. "
"208","Eucalyptus goniocalyx subsp. goniocalyx",NA
"209","Eucalyptus gracilis","usually rough on lower stems (rarely smooth throughout), tessellated box-type, flaky or fibrous, grey or brown; smooth bark white, pink, brown or grey, sometimes powdery. "
"210","Eucalyptus grandis","rough, flaky, greyish on basal 1-4 m of trunk, smooth above, powdery, pale grey or white."
"211","Eucalyptus grandis x saligna",NA
"212","Eucalyptus gregsoniana","smooth, light grey to white with patches of yellow, pink or pale brown."
"213","Eucalyptus gunnii","smooth throughout or with some imperfectly decorticated rough bark on basal 1 m of trunk; smooth bark mottled white, yellow, pink, brown, green or grey, branchlets often conspicuously glaucous."
"214","Eucalyptus haemastoma","smooth, white, grey, yellow or silvery grey, with prominent scribbles."
"215","Eucalyptus haemastoma x racemosa",NA
"216","Eucalyptus hypostomatica","rough on trunk and larger branches, box-type, flaky, grey, branches 8 cm diameter usually smooth, grey."
"217","Eucalyptus ignorabilis","on trunk and branches rough, firm, fibrous, with interlocking fissures, spongy, grey or brown, smaller branches shedding in ribbons."
"218","Eucalyptus imitans","rough to 5 cm diameter branches, stringy, pale grey to grey-brown."
"219","Eucalyptus interstans","smooth, mottled grey, white, pink or orange."
"220","Eucalyptus intertexta","rough on lower trunk, rarely over whole trunk, thick, fibrous, often box-type, grey to red-brown; smooth above, predominantly white with grey or brown patches shedding in flakes; branchlets"
